sqft_living,bedrooms,bathrooms,floors,house_age,dist_to_city_km,quality_score,price
959,4,2.0,2.0,10,13.97,6,256153
3173,4,2.6,2.0,9,1.4,4,602494
2017,1,1.9,1.0,71,0.24,9,403973
818,5,3.7,1.5,45,13.07,3,208514
2036,3,2.3,2.0,57,1.9,5,396980
3041,2,1.5,2.0,7,14.91,10,555532
2619,1,1.0,1.0,2,6.24,6,458428
1511,3,2.3,2.0,17,6.51,9,362456
1529,4,2.8,1.0,4,4.15,5,383514
1182,2,1.0,1.5,25,5.22,5,247643
1343,3,2.6,1.0,6,1.31,5,348415
1404,3,3.1,3.0,2,3.77,10,376248
799,3,1.7,1.0,10,3.61,6,236807
1567,6,4.3,2.0,23,26.54,9,383087
2158,3,3.0,1.5,17,6.69,10,470880
1590,5,3.4,1.0,5,1.14,8,417301
2063,3,2.4,1.0,22,0.96,5,378064
3116,2,3.7,1.0,1,5.02,7,628444
3277,2,1.8,2.0,14,0.25,5,592435
1849,5,3.8,2.0,17,3.37,7,426992
2560,1,1.2,1.0,7,1.31,8,539433
1775,2,1.9,1.5,1,8.22,10,402980
1534,3,1.9,1.0,34,2.29,9,355336
1062,4,2.1,2.0,33,25.57,6,211981
1965,3,2.5,1.0,9,18.29,9,441442
2713,1,1.1,2.5,7,21.58,9,517653
944,3,2.1,1.5,5,12.09,5,274011
1685,5,4.6,1.0,9,0.2,3,431777
1648,5,4.5,2.0,12,9.9,6,393693
2085,6,4.9,2.0,29,5.18,8,523747
2097,3,2.1,1.0,2,24.21,4,380703
2303,2,1.0,1.0,26,24.86,10,396066
3323,2,1.4,1.0,35,3.93,10,606768
1247,5,2.8,1.0,4,11.12,3,309246
1206,4,1.8,2.0,43,2.91,6,275737
2086,4,3.3,2.0,47,4.25,5,420004
2990,3,2.8,1.0,26,1.94,9,604067
803,3,1.3,1.0,2,4.35,9,283088
2149,3,2.1,2.0,23,0.31,8,473155
1749,3,2.2,2.0,24,17.51,8,362643
2541,3,2.1,2.0,9,0.5,9,526321
2371,2,1.0,2.0,23,10.23,8,424137
1936,2,2.2,1.0,13,10.7,8,408351
2266,2,1.0,2.0,14,8.65,10,455211
1406,6,3.5,1.5,3,29.99,7,336107
2500,6,3.8,2.0,26,0.45,3,471466
2940,4,3.2,1.0,68,28.8,6,448799
1975,4,,2.0,6,4.41,8,469279
1594,2,1.1,1.0,10,13.54,9,323101
1791,2,1.8,1.0,2,8.84,8,394650
2492,2,1.7,1.0,5,7.51,5,456814
1869,2,1.0,2.0,21,4.6,4,339830
1000,4,3.3,2.0,13,6.24,9,323754
2614,2,2.1,1.0,33,1.11,4,474609
1163,5,3.7,1.0,13,10.33,3,305428
2218,4,2.9,1.0,8,21.1,8,437013
500,2,2.4,2.0,10,0.82,7,203608
1981,4,2.6,1.5,14,5.76,8,467397
1849,4,2.9,2.0,0,2.93,6,428381
450,3,2.4,2.0,5,10.53,7,209974
2150,2,1.5,2.0,22,6.09,5,398545
1074,3,2.1,1.0,34,15.35,6,252745
1964,3,2.3,2.0,5,4.68,4,362727
1591,4,3.8,1.0,6,10.5,8,422556
790,3,2.7,2.0,3,1.07,7,270643
1116,5,3.7,2.0,1,4.92,5,306973
1176,3,1.8,2.5,15,18.39,7,255989
2637,6,4.1,1.0,11,6.04,4,537596
2527,2,2.0,2.0,18,5.12,8,498945
3546,4,2.2,2.0,10,6.65,7,664471
1516,2,2.7,3.0,35,2.81,8,331073
1492,4,3.0,1.0,25,10.08,7,368333
2001,5,3.1,2.0,5,7.64,9,467619
1634,3,2.3,1.0,26,5.63,9,373340
1463,2,1.1,2.5,68,3.47,5,263431
1941,6,4.3,2.0,1,1.14,6,493532
2428,6,3.7,2.0,2,5.06,7,543866
450,4,2.9,1.5,25,5.25,9,219230
1471,3,1.2,2.0,2,3.98,3,312288
848,2,1.2,2.0,18,6.03,10,285829
1785,3,1.8,1.0,36,2.57,5,380320
2224,4,2.7,2.0,19,18.55,6,439614
2738,2,1.1,1.5,1,28.17,5,460979
1575,1,1.0,1.0,49,8.01,7,341254
1980,5,4.2,2.0,24,1.68,5,455514
638,4,3.2,1.0,11,6.73,10,281512
1255,4,3.6,2.0,1,5.26,5,336010
2055,5,3.5,1.5,12,4.21,5,461377
881,3,,2.0,3,3.57,3,192135
2828,3,2.4,1.0,13,5.59,8,579330
2293,5,4.3,2.0,32,9.55,10,491340
1222,6,4.1,2.0,23,11.34,7,328746
788,1,1.1,2.0,17,12.11,10,208375
1361,3,1.8,1.5,69,25.06,6,216396
1226,3,2.0,2.0,85,7.03,8,249606
987,2,1.3,1.5,1,26.94,9,261598
845,2,1.7,1.0,3,4.87,8,290691
1727,1,1.0,1.0,28,15.55,4,331980
2449,4,2.5,1.0,44,4.64,10,509169
1367,2,1.2,2.0,3,1.17,3,296356
2234,5,3.8,1.0,4,9.24,3,476589
1654,4,2.5,2.0,8,0.38,4,364451
2359,3,2.4,2.0,12,2.55,8,483102
1310,4,2.8,1.0,4,4.11,10,376319
2111,4,3.3,1.0,7,17.68,7,444847
1990,4,3.0,1.0,65,7.17,5,340088
2922,5,4.6,1.0,26,28.99,6,554881
2319,4,3.1,1.0,7,15.89,8,490526
2092,4,2.4,2.0,11,4.0,4,445812
798,4,2.9,3.0,7,0.71,4,232328
1506,3,2.3,1.0,29,0.72,5,325330
1300,4,2.5,1.0,39,12.75,6,278414
1283,3,3.0,2.0,12,4.08,8,344667
1912,6,4.3,3.0,8,1.37,7,478978
2081,3,1.9,3.0,11,0.81,3,429454
2110,2,1.6,3.0,6,2.47,4,418080
2846,3,1.8,1.0,2,0.2,3,519697
2263,3,2.7,3.0,20,11.39,6,484804
979,3,2.6,1.0,33,8.09,7,257885
2052,4,3.1,1.0,17,12.18,5,403314
2338,5,4.0,2.0,21,4.67,3,440953
2847,3,2.0,2.0,31,5.21,3,500027
1784,6,3.7,2.0,16,2.36,8,465963
1792,4,2.8,2.0,46,3.35,6,360098
2709,2,1.2,2.0,6,14.72,10,536704
2034,3,1.2,1.0,31,15.41,7,386016
701,5,3.2,1.0,8,9.43,5,215199
540,4,2.4,2.0,73,18.52,3,120972
3281,2,1.0,1.5,24,5.24,8,587787
615,4,3.7,1.0,29,5.03,5,203092
1775,3,2.5,1.0,14,8.98,7,409176
2562,4,3.5,2.0,13,0.25,6,554180
577,2,1.8,2.5,24,6.63,3,141343
1089,3,2.8,2.0,8,1.09,10,351155
965,3,2.3,2.0,7,26.8,3,206912
3251,3,3.0,2.0,3,8.7,7,621309
3414,3,1.6,1.0,0,5.15,4,603559
1349,4,3.0,2.0,15,3.21,10,380431
2335,4,2.5,2.0,9,2.18,5,499525
2131,4,3.6,3.0,3,0.2,7,501427
1689,5,4.0,1.0,9,16.02,3,331922
680,4,3.6,3.0,100,6.46,9,161993
3631,1,1.0,2.0,1,3.17,4,591126
538,2,1.2,1.0,7,2.48,3,149209
2059,4,2.1,1.5,3,0.62,5,433100
1414,4,3.2,1.0,10,6.04,7,358029
2656,6,4.3,2.0,43,7.08,5,524262
2534,1,1.1,1.5,4,1.31,5,476603
1166,3,2.3,2.0,35,1.03,3,263020
1307,4,1.9,2.0,21,4.27,8,358672
737,5,2.9,2.0,15,11.1,5,208628
2046,3,2.3,1.0,15,2.2,10,475953
2433,3,2.5,2.0,17,2.12,6,496769
1569,5,2.6,2.0,13,11.19,8,361626
1716,3,2.2,2.0,18,10.98,5,363538
3331,4,2.5,1.0,7,34.19,3,547176
2602,5,3.2,3.0,0,17.36,8,538747
2911,3,1.9,2.0,7,5.2,7,520618
450,3,2.3,2.0,5,2.09,10,265107
2310,5,3.4,1.0,13,1.9,8,526000
2089,3,1.3,2.0,5,1.74,8,463383
961,1,1.0,1.0,11,24.21,3,112160
1117,3,2.1,1.5,36,1.22,9,297534
1736,4,2.5,2.0,30,15.11,4,313687
894,3,2.1,1.0,24,17.18,8,264633
1301,4,2.8,1.0,8,20.67,8,303669
1554,3,2.3,1.5,5,2.71,9,424058
2330,2,1.4,1.0,15,0.85,5,467449
1370,3,2.3,2.0,35,17.18,6,288928
1565,3,2.2,1.0,12,7.8,3,346729
2668,5,4.2,1.0,4,10.75,5,528057
577,3,3.0,2.0,23,15.88,10,214232
2070,4,3.0,3.0,1,6.56,4,455494
2192,2,1.2,1.5,4,1.77,10,463831
2213,3,1.5,1.0,3,8.7,3,394121
1524,3,2.6,3.0,45,16.44,5,288731
1101,4,2.5,2.5,1,13.1,6,280093
3040,4,4.2,2.0,2,7.37,10,678708
1258,4,4.4,1.5,9,5.33,7,374295
1062,3,2.1,1.0,35,6.87,9,277246
1915,5,2.9,2.0,37,13.59,9,402282
1346,4,3.3,2.0,5,6.27,7,367525
2688,5,4.8,3.0,7,2.64,8,618636
1701,3,1.6,1.0,11,10.6,8,383868
2785,1,1.7,1.0,14,6.95,7,500271
2237,4,2.1,2.5,10,28.09,10,424839
1609,3,1.5,2.0,15,38.35,6,274613
2736,4,3.2,2.0,10,8.49,8,567046
1412,2,2.0,1.0,5,10.47,5,303710
1660,4,3.0,2.0,45,4.37,5,371715
2297,2,1.7,1.5,73,2.83,5,401999
2070,3,2.8,1.0,4,9.06,4,424480
1395,2,2.1,1.0,7,20.47,9,332227
748,5,3.4,1.0,15,0.63,6,253328
1886,2,1.1,1.5,1,2.86,8,408512
1355,4,3.5,1.0,10,3.88,4,320160
1922,1,1.0,1.5,13,13.02,8,387310
1584,2,1.8,1.0,59,1.24,3,270035
1362,3,1.9,1.0,8,3.17,8,353565
1699,1,1.1,3.0,4,8.1,6,347152
1845,3,1.7,2.0,70,4.25,3,327354
2421,2,1.6,1.0,27,0.32,5,434745
2217,4,3.1,2.0,5,11.18,3,446754
3471,5,3.8,1.0,26,8.94,3,603551
2006,4,3.4,1.5,15,1.55,9,460413
1395,2,1.0,1.0,22,6.24,9,325219
1775,3,2.6,3.0,21,5.0,9,435204
2326,2,1.5,1.0,34,8.53,3,2302710
2653,3,1.9,2.5,30,11.21,7,460755
2906,4,2.3,2.0,14,4.12,8,564301
1137,1,1.7,1.0,15,4.93,5,257025
2861,3,2.2,2.0,19,8.79,7,575371
1865,4,2.8,1.0,15,28.1,5,362764
1205,3,1.7,2.0,17,19.13,10,288143
1747,3,2.8,2.0,1,3.22,4,386414
2808,5,4.3,1.0,3,2.21,5,614491
2243,2,1.9,1.0,10,13.8,9,451351
991,4,3.0,2.0,22,18.55,4,232963
997,2,1.9,1.0,1,9.0,10,295307
976,6,4.1,3.0,19,18.31,8,315833
1351,4,3.1,1.0,0,14.07,10,364738
1958,3,2.2,1.0,13,5.38,7,439496
1055,6,4.6,1.0,21,31.97,10,326131
1579,2,1.0,1.5,4,4.38,9,385725
2952,5,4.7,3.0,1,3.47,9,642808
3113,4,3.8,1.0,24,2.54,4,562679
3063,2,1.0,2.0,42,12.48,9,533821
554,3,2.5,1.0,1,13.5,5,186666
3155,1,1.0,1.0,4,6.03,9,577627
1969,4,3.0,1.0,7,8.94,3,400199
1958,4,1.9,2.0,38,0.2,3,389765
2672,3,2.1,2.0,3,0.45,8,543692
2428,4,2.8,1.0,23,14.6,3,417028
498,5,4.3,3.0,5,2.04,5,232638
1441,3,3.1,1.0,31,10.79,6,352892
1625,4,3.8,2.0,44,2.23,4,364652
902,2,2.1,1.0,14,8.3,8,245928
2648,6,4.5,2.0,9,7.49,7,597567
2979,5,3.9,1.0,6,6.82,8,616054
1892,5,3.9,1.5,17,3.37,5,474441
2124,4,2.4,2.0,58,22.2,3,349457
1892,3,2.8,2.0,7,1.68,3,409054
1974,2,1.8,1.0,8,0.7,5,425213
2738,3,2.6,2.0,2,5.2,4,551752
576,2,1.0,1.0,11,1.45,7,203508
2265,3,2.5,1.0,23,7.6,9,501134
1909,3,2.8,2.0,8,16.46,5,374739
1365,4,3.0,3.0,1,1.51,7,368177
1522,4,2.7,1.0,38,13.35,10,361750
3274,3,1.6,2.0,10,3.57,6,621677
904,4,2.3,2.0,9,0.95,4,260591
1774,3,2.3,2.0,10,9.77,6,411980
3122,3,2.1,1.5,26,2.08,3,574816
947,3,2.1,1.0,40,5.97,10,278159
1558,2,2.3,1.0,27,0.38,10,366962
1932,3,1.6,1.0,0,13.95,3,387622
2209,3,2.1,2.0,21,19.96,5,364050
1840,1,1.6,1.0,28,11.74,4,342271
1228,3,2.1,1.5,13,1.23,10,338085
2236,3,2.3,2.0,30,0.2,9,501928
1825,4,2.9,1.0,43,14.43,5,330961
2371,2,1.9,2.0,27,15.36,7,425548
2593,3,1.2,2.0,2,4.36,8,532840
785,1,1.0,2.0,29,19.04,10,216705
2675,2,1.5,1.5,42,7.05,9,488281
1709,3,1.8,1.0,6,7.0,8,388642
2519,3,2.4,1.5,3,9.28,6,516068
2270,4,3.4,2.0,4,3.99,8,529759
3291,4,3.2,2.0,85,23.71,8,534534
1905,5,4.6,2.0,12,13.81,7,432271
1598,5,3.5,1.0,9,6.18,4,353295
1515,2,1.7,2.0,43,5.29,3,287339
1122,2,1.7,1.0,1,12.16,7,299081
2506,3,2.1,1.0,17,28.1,10,478175
1074,4,3.6,1.0,28,1.21,10,326403
2499,4,3.1,2.0,4,3.6,7,565264
1732,3,1.6,2.0,21,7.28,10,361618
578,6,4.9,2.0,20,22.11,3,216718
3016,3,2.0,2.0,55,19.44,9,527974
450,5,3.6,2.0,24,9.96,4,199365
1839,6,4.4,2.0,27,15.97,5,388818
2075,3,2.6,2.0,2,7.91,5,429208
450,2,2.0,1.0,5,1.17,4,189451
2231,3,2.2,2.0,14,7.34,5,438597
1398,3,2.1,2.0,20,4.39,7,304913
1714,5,2.7,1.0,7,10.83,3,398571
2907,6,4.1,1.0,23,6.18,4,582159
2007,2,1.0,1.0,13,2.04,5,398458
1637,1,1.0,1.0,33,0.68,3,304963
1772,4,2.9,2.0,24,1.08,10,470084
3232,3,1.8,1.5,24,4.73,6,572884
2203,4,3.1,2.5,16,6.8,7,454913
1237,3,2.2,1.5,82,9.08,7,264313
1534,2,1.0,2.0,10,2.3,5,339664
1007,3,2.8,2.0,11,6.45,5,256414
1561,1,1.3,2.0,16,13.53,3,302410
3106,3,2.1,1.0,15,1.35,9,619399
1775,2,1.7,1.0,2,0.49,9,405759
897,3,2.1,1.0,11,6.19,8,286603
2223,4,2.2,2.0,13,5.04,8,486115
1606,1,1.8,1.0,53,1.65,9,340485
2321,5,4.1,1.5,0,4.56,3,499648
1718,2,2.0,2.5,22,25.68,8,346112
2984,4,2.9,2.0,33,0.69,10,624715
1217,3,2.8,1.0,15,1.85,9,349426
1026,4,2.3,1.5,29,6.69,5,257689
2603,1,1.0,2.0,57,44.54,7,365489
450,3,2.6,2.0,5,1.22,5,229697
1771,6,4.2,2.0,12,3.13,4,434859
2500,2,2.0,1.0,2,15.18,5,456498
450,4,3.2,2.5,1,2.78,5,224644
1948,4,3.1,1.0,5,0.76,10,515536
778,3,1.9,1.0,58,13.84,6,194453
516,2,1.7,1.0,43,2.98,9,199745
1101,4,4.0,1.0,26,0.2,10,376266
1762,5,3.8,1.0,20,8.41,8,416876
1371,2,1.8,1.0,10,5.99,6,324070
2730,4,3.4,1.0,17,0.23,6,590641
1962,4,2.4,1.0,13,8.78,9,457009
1533,4,2.9,2.5,3,14.41,5,378892
918,4,2.9,2.0,47,15.05,6,226928
2068,1,1.0,2.0,41,26.19,5,311776
3444,3,2.6,2.0,21,12.49,5,624111
1373,6,4.0,2.0,82,16.88,5,246203
1461,4,3.3,1.0,34,15.69,3,298537
1104,3,1.9,2.5,21,15.71,9,303050
2788,4,4.0,1.0,25,4.3,9,593446
2595,2,1.4,1.5,7,21.89,8,438798
1565,2,2.5,2.5,6,9.16,9,354197
1451,2,1.4,1.0,33,3.72,6,307211
1192,2,1.5,1.0,6,1.14,7,320504
1683,3,3.0,2.0,13,5.91,10,428580
2665,3,1.8,1.5,3,2.75,3,500145
1931,4,3.0,1.0,33,5.23,4,405945
2866,5,4.0,3.0,8,0.2,9,634756
1360,3,2.5,2.5,16,7.39,3,1771200
450,2,1.5,2.5,4,1.87,9,232207
3854,6,4.5,1.0,56,0.42,5,692842
2061,1,1.2,2.0,15,12.49,8,413722
2484,3,2.3,2.0,1,2.6,10,529901
1309,2,2.0,2.0,4,1.59,7,344537
878,5,3.9,1.0,41,20.96,3,216445
2016,3,2.6,2.0,6,6.37,7,435740
450,5,4.3,1.0,17,3.32,3,222673
1700,6,4.3,2.5,4,8.61,10,491295
2667,5,4.3,2.0,7,1.99,5,544240
2236,4,2.9,2.0,17,3.68,10,524844
2091,4,2.3,1.0,4,7.7,10,501832
3208,5,3.6,1.0,35,6.83,5,593074
2182,2,1.1,1.5,49,3.16,5,403877
472,4,3.2,2.0,4,3.67,9,253537
1788,2,1.4,2.0,11,3.68,8,418693
3344,3,2.3,1.0,34,23.7,7,517445
1668,3,2.8,1.5,33,8.7,9,407611
3298,6,5.0,1.0,7,20.69,5,609386
2668,3,2.4,1.5,16,13.12,8,519970
1594,3,2.8,1.5,2,3.34,5,359875
1090,4,2.9,1.0,6,13.42,3,293814
2155,4,2.2,1.0,2,0.2,5,459500
2853,2,1.0,2.0,82,26.44,4,385940
716,3,2.2,1.5,8,1.59,10,303681
1990,4,3.4,1.0,24,1.62,5,444412
450,5,3.7,2.0,12,2.89,10,266487
1645,5,4.3,1.5,47,6.1,9,387611
659,3,3.2,1.0,0,4.94,5,221810
2322,2,1.1,1.0,32,2.54,9,485406
1383,4,4.1,1.0,16,1.08,3,349541
2769,3,1.4,2.0,22,3.73,4,503352
1495,4,3.9,1.0,1,2.91,9,428082
1426,4,3.0,3.0,2,0.2,6,341501
689,1,1.0,1.5,60,14.7,4,113674
2193,5,3.7,2.0,14,0.41,4,469555
2269,3,,3.0,16,1.68,9,506387
2605,6,5.0,1.0,43,2.02,6,520107
2391,3,1.9,2.0,2,12.98,6,486158
2201,5,3.5,1.0,68,8.49,5,448558
2347,2,1.0,1.0,24,2.09,3,388147
2423,3,1.9,2.0,27,5.69,10,501562
2581,2,1.1,1.0,27,40.63,4,384715
754,4,2.6,2.0,21,25.98,6,216245
1554,5,3.7,2.0,6,9.95,9,374416
683,4,2.4,2.0,1,1.73,3,238170
2149,4,3.8,2.0,4,7.25,7,478726
3122,2,1.4,2.0,100,9.75,7,482020
2572,6,4.7,1.0,4,1.04,8,630738
1445,3,2.7,2.0,43,4.51,10,353384
2279,4,4.0,1.0,16,2.39,3,475897
2162,3,2.7,1.0,18,10.16,5,424122
2075,4,2.9,1.0,42,8.15,5,411268
922,3,1.7,1.0,14,7.98,9,288954
2886,3,2.4,1.0,24,10.82,6,545999
1016,1,1.3,2.0,5,17.14,6,218793
1625,4,3.1,2.0,10,3.15,5,386630
2619,3,2.3,2.5,8,11.59,7,515103
1620,5,3.9,2.0,1,0.88,7,402195
1959,4,2.1,2.0,19,22.07,7,371504
1990,5,3.8,2.5,45,3.93,7,454000
1949,3,2.6,2.0,4,4.77,9,446462
1986,4,3.0,1.0,16,2.3,9,514578
2060,3,2.8,1.0,13,5.32,7,463305
1956,5,4.3,1.0,7,22.76,10,466983
1228,3,2.0,1.0,5,0.94,6,350740
737,3,2.5,2.5,14,2.0,3,234844
2649,3,2.3,1.5,22,16.8,9,513204
2683,3,1.2,2.0,4,2.2,9,524515
2153,5,3.7,1.0,0,13.01,3,456960
2147,2,1.0,2.5,12,2.56,5,443000
1214,4,,1.0,18,5.83,5,300481
450,3,2.6,1.0,2,8.28,7,180559
1713,2,1.4,2.5,37,4.13,5,314622
477,5,3.3,1.0,32,1.35,8,270666
2038,4,3.1,2.0,11,13.95,7,438604
2878,5,5.0,1.0,11,1.35,9,661750
1438,3,1.2,2.0,17,16.12,9,327468
1481,4,3.1,2.0,3,13.15,5,338373
1146,4,2.7,2.0,30,0.72,7,353355
1933,4,2.8,1.5,5,18.53,7,406953
1875,1,1.0,2.0,81,33.03,6,245847
1136,2,1.3,1.5,1,0.51,10,342541
2584,2,1.8,2.0,20,6.97,3,450788
3927,4,2.9,2.0,7,3.94,10,775215
2792,4,1.9,1.0,3,8.89,10,585460
1817,4,3.6,2.0,34,3.87,5,403297
1808,2,2.1,1.0,4,4.84,5,373031
1515,4,2.7,1.0,4,4.75,3,317069
1499,2,1.5,2.0,28,3.45,4,289646
2619,5,4.4,2.0,1,11.38,4,519181
2651,3,2.8,2.0,13,7.02,9,551157
1023,4,3.7,3.0,0,13.86,9,310557
2175,2,1.7,1.5,16,5.76,10,438281
2733,3,2.6,3.0,63,9.67,5,447926
1637,3,3.0,2.0,56,1.27,5,346202
1741,3,2.1,1.0,45,1.36,9,401582
2422,2,1.7,2.0,7,11.67,7,459494
2443,3,1.2,1.0,11,7.7,3,435647
2222,2,1.0,3.0,4,4.42,9,478888
2091,5,4.0,1.0,68,2.25,3,404985
2191,3,2.6,1.0,68,1.5,3,406814
1692,3,2.1,2.0,7,2.06,10,420831
1062,4,2.7,1.0,2,2.59,10,335888
733,4,2.8,1.0,7,0.51,8,305951
2347,2,1.6,1.0,19,5.49,5,435691
1981,4,1.8,2.5,9,0.86,4,402685
2242,5,4.0,1.0,25,4.29,6,501171
1278,3,2.3,1.5,8,0.86,7,366959
1977,1,1.0,1.5,14,0.24,3,373827
1959,3,2.2,2.5,8,1.49,8,427907
2859,5,3.1,2.5,3,44.43,3,495981
2539,2,1.0,2.5,48,1.24,6,460977
1345,1,1.5,1.0,27,9.29,3,257236
2278,5,3.4,1.5,15,17.0,3,430006
1340,5,4.2,2.0,51,0.92,5,352094
450,3,1.7,1.0,4,16.03,7,163836
3194,1,1.0,1.0,1,5.47,10,588594
1619,4,,2.5,13,5.75,3,387068
2680,4,2.9,1.0,3,9.46,7,529309
1404,3,2.1,1.0,20,15.6,9,348734
1294,2,2.2,1.0,20,0.44,5,330948
1490,5,4.7,1.0,5,5.72,9,430158
2089,4,3.1,3.0,3,0.28,6,457007
2032,3,2.0,1.0,42,7.05,3,377687
2273,5,3.1,1.0,22,2.07,5,502518
1528,4,2.3,1.0,8,26.28,6,326263
1930,5,4.5,1.5,4,3.67,7,461778
1268,2,1.0,2.0,4,9.9,4,277932
3002,3,2.0,2.0,9,2.99,7,556678
914,4,3.1,2.0,11,15.62,9,271002
1284,3,1.0,1.5,62,5.94,6,252579
1582,3,1.6,1.0,37,0.52,4,325323
3692,4,2.3,1.0,52,6.94,8,633197
2475,4,2.7,2.5,18,4.16,8,524435
1260,3,2.4,2.0,6,8.61,6,324532
2517,3,2.8,1.0,49,2.02,9,501095
2287,4,2.7,2.0,1,1.43,9,484102
2105,4,2.8,2.0,17,13.84,3,404007
2422,3,2.2,2.0,8,8.83,7,520600
1944,3,1.8,2.0,27,5.03,8,422292
2028,2,1.7,3.0,1,11.96,4,389540
735,4,3.2,1.0,1,9.5,4,234525
2982,4,1.6,1.0,34,0.34,4,548688
1564,4,3.3,3.0,25,2.7,5,368750
972,4,3.1,2.0,4,1.94,5,310019
1522,2,1.6,2.0,16,8.28,8,325511
1552,3,2.8,1.0,38,18.23,10,350508
1299,3,1.4,1.0,46,14.17,6,252281
2483,3,1.6,3.0,5,3.84,9,528010
2631,3,2.2,1.0,1,1.85,7,504856
450,2,1.0,2.0,12,3.51,10,207651
1514,5,3.6,1.0,2,7.2,6,398841
1568,3,2.7,3.0,12,11.79,8,381647
1771,5,3.9,1.0,18,12.84,9,429576
3180,4,3.0,2.5,14,3.6,10,609664
1290,4,2.9,1.0,2,6.06,6,354233
3072,2,1.3,3.0,22,1.35,5,577756
1790,2,1.3,1.0,26,10.14,3,307395
3079,4,3.1,2.0,22,7.68,7,584265
1667,3,1.5,2.0,4,4.75,7,397155
1579,2,2.2,1.0,20,10.97,6,348217
