sqft_living,bedrooms,bathrooms,floors,house_age,dist_to_city_km,quality_score,price
1883,4,2.6,1.0,7,11.03,4,411410
2869,2,1.8,2.0,3,8.84,9,580755
2019,2,1.5,2.0,100,1.75,10,345295
2057,6,3.9,1.0,9,9.49,10,495459
2378,3,2.9,1.0,18,6.55,6,488213
1240,3,2.8,2.0,9,0.2,8,349339
2153,2,1.0,2.0,69,10.15,9,393266
1429,5,3.7,2.0,44,3.48,9,372988
3003,5,3.9,1.5,26,1.5,5,582744
2214,3,1.2,1.0,3,0.2,10,491932
2420,3,1.2,1.0,12,39.49,8,393363
450,4,2.6,1.0,10,3.74,3,175194
2430,2,1.0,3.0,23,14.38,4,412815
1767,3,1.7,1.0,34,11.2,6,348471
822,2,1.0,1.5,5,34.09,10,217918
1971,2,1.4,1.0,13,20.35,8,379030
761,4,2.6,1.0,5,5.47,8,309210
2358,3,2.8,2.0,46,11.9,7,467118
2975,3,2.3,2.0,31,3.44,10,578542
557,3,2.6,2.0,57,2.44,7,195863
1878,3,1.4,1.0,23,29.15,6,354031
1776,5,3.4,2.0,0,9.07,6,410871
450,3,2.3,3.0,6,10.09,7,188794
2587,3,2.5,3.0,9,4.32,4,520955
2369,3,1.9,1.0,11,8.93,10,513242
3420,5,3.5,1.5,18,13.36,10,691580
2272,4,2.8,3.0,21,20.17,6,441463
1241,1,1.0,2.0,74,0.2,8,250281
2286,2,2.6,1.0,17,11.65,9,444545
2864,4,3.2,2.0,7,1.48,7,591528
1551,4,3.0,2.0,2,0.22,3,389844
2539,2,1.0,2.0,15,1.02,3,479834
450,3,1.6,1.0,13,7.55,8,221423
3006,4,2.9,2.0,11,13.3,3,554725
2500,3,2.8,2.0,36,3.74,9,550312
450,4,2.9,1.0,8,1.11,6,198467
2187,3,2.2,2.0,0,30.46,9,435653
450,4,2.6,1.0,7,5.75,4,178634
1442,4,2.1,1.0,37,1.93,6,360637
2409,5,4.0,2.0,5,5.59,4,496576
1798,4,2.9,1.0,21,6.1,6,417334
2842,3,2.5,1.0,7,13.62,3,498803
1948,4,3.1,2.0,28,1.0,5,426806
1872,4,2.5,2.0,3,3.38,5,416345
2724,3,2.4,2.0,34,1.92,7,525699
1647,3,1.6,1.0,12,8.05,3,336490
1881,2,1.6,2.0,53,3.42,5,364287
1980,4,3.0,1.0,32,5.69,8,433822
1849,3,3.0,1.0,13,3.83,6,428085
2770,2,1.1,1.0,10,3.12,7,546701
1400,3,1.6,1.5,7,7.95,9,345883
1277,6,4.3,2.0,100,1.61,7,338206
1104,2,1.8,1.0,2,3.31,10,341978
450,3,1.0,2.0,15,4.62,10,209815
3013,5,4.2,3.0,49,5.62,7,594839
1224,5,3.6,1.0,1,3.29,6,375294
1721,3,1.7,2.0,25,8.12,5,359204
3068,2,1.3,2.0,4,9.29,9,587119
1794,3,1.9,1.5,1,25.34,9,319103
2286,3,1.6,1.5,25,1.69,4,417021
835,3,1.3,2.0,23,28.06,8,212397
2949,4,3.4,1.0,7,3.07,5,564556
1809,4,2.7,2.0,9,3.05,10,461126
1136,4,2.8,1.0,15,0.2,5,327346
1136,5,4.2,1.0,57,5.14,3,267443
3167,4,3.0,2.0,25,1.49,10,609735
1460,3,1.5,1.0,16,9.26,7,318722
1153,2,1.8,2.0,24,0.51,10,334316
1575,4,3.7,2.0,22,17.24,10,409701
1934,4,3.3,1.0,2,5.49,6,404692
2014,3,1.8,2.0,47,0.95,6,398679
2233,3,1.5,1.0,18,7.87,9,436899
2076,4,2.5,2.0,6,2.2,6,458413
2385,2,1.6,1.0,14,19.28,4,409234
1695,4,3.7,1.0,8,3.72,7,462335
3454,2,1.1,2.0,52,0.2,7,586111
1534,4,2.7,2.5,29,17.3,9,372498
2914,3,2.8,1.0,1,4.15,4,574297
1451,3,2.0,1.0,10,5.59,6,337561
829,4,3.9,2.0,9,1.36,7,303077
650,3,2.2,1.0,39,11.46,10,224290
2128,1,1.3,2.0,65,0.49,4,345194
2771,2,1.7,1.0,12,10.26,7,502955
1037,2,1.9,1.0,34,7.4,7,247877
1242,3,2.2,1.0,24,0.46,10,327358
2190,2,1.4,1.0,23,13.27,6,395391
1898,3,2.5,2.0,10,11.39,4,377643
1461,4,3.4,2.0,1,5.32,7,387916
941,5,4.0,1.0,1,9.03,9,342590
2132,2,1.0,1.0,46,2.8,4,372020
2390,5,3.9,1.0,4,18.37,8,497450
2269,6,4.2,2.0,4,13.18,7,515436
1920,4,2.7,2.0,20,0.88,9,468080
1108,4,3.2,1.0,4,0.84,5,311899
2136,3,3.1,2.0,43,12.48,9,418054
2080,2,1.4,2.0,13,23.03,4,349992
915,5,4.7,3.0,3,3.13,7,329227
1673,5,3.2,2.0,2,12.02,7,2558280
2175,3,2.9,1.0,61,1.34,5,423792
1841,2,1.7,1.0,8,5.09,4,370929
450,2,1.6,2.5,9,7.63,10,249771
1420,3,2.9,1.0,6,6.49,6,348358
1370,5,3.4,1.0,2,3.54,10,435297
2319,1,1.4,1.5,12,0.2,5,466866
3849,4,2.9,2.0,3,1.71,8,761126
2000,4,2.7,2.0,14,19.04,7,418755
1002,3,1.6,2.0,25,1.95,6,267724
1780,4,3.8,1.0,6,6.31,6,420453
1908,3,2.8,2.0,14,5.0,5,420958
2467,2,1.3,2.5,22,3.65,4,433342
2832,3,2.5,1.0,21,0.2,8,562508
2943,2,1.6,1.0,24,6.49,5,551104
2303,4,2.8,3.0,7,24.57,7,463387
1899,3,2.7,1.0,24,2.52,7,434853
3013,4,2.7,1.5,13,5.15,10,596207
1639,4,1.9,1.0,11,3.06,9,399108
1941,5,3.9,2.0,74,0.59,4,392335
1717,4,3.0,2.0,39,3.67,3,350112
450,4,2.7,2.0,23,13.82,10,196485
2854,3,1.8,1.0,4,6.49,3,532197
2407,3,,1.0,2,1.35,8,527585
450,4,2.8,1.5,5,5.87,9,239297
2651,4,2.6,1.0,57,5.69,9,529152
1672,4,3.5,2.0,3,6.25,5,431579
2641,1,1.0,2.0,17,15.37,5,476347
1957,1,1.0,2.5,23,1.8,5,369747
882,2,1.8,1.0,13,23.41,4,168430
1920,1,1.0,1.0,42,14.29,4,319262
1226,4,2.9,2.0,2,1.77,4,367138
983,3,2.2,2.0,6,7.09,10,335992
2550,3,3.1,1.0,18,5.89,6,505732
2194,2,1.8,3.0,28,8.83,7,452167
3023,4,2.9,2.0,16,12.31,8,606719
1604,2,1.9,1.5,32,5.51,4,282297
1178,2,1.9,2.0,21,13.24,10,320673
2379,4,3.1,2.0,24,34.33,6,423178
1275,4,2.8,1.0,4,5.67,7,331773
1667,2,1.3,1.0,73,15.13,5,271031
2294,2,1.0,1.5,14,6.57,5,436009
1806,3,2.3,1.5,0,26.96,4,325787
1533,4,2.7,2.0,32,0.34,7,368045
848,3,2.0,1.5,5,4.73,10,290091
2603,4,3.3,1.0,2,19.01,3,496682
1624,3,3.1,2.0,12,0.43,6,383471
2364,4,3.2,1.0,5,15.66,6,447568
2264,4,2.9,2.0,20,13.79,8,460760
2718,4,3.0,2.0,6,15.59,8,527448
1723,2,2.1,2.0,1,9.53,10,385918
1639,2,1.7,1.5,82,1.54,5,313150
1069,2,1.6,1.0,3,2.91,4,281547
1493,2,1.6,2.0,26,12.32,6,287767
2156,3,1.5,1.0,22,2.6,4,392240
1287,1,1.0,2.0,64,12.4,6,223913
2137,4,2.6,1.0,23,28.48,5,360857
3000,4,3.2,2.0,5,3.7,5,583467
1566,4,2.6,1.0,35,7.32,8,365958
914,3,2.5,1.0,85,1.9,4,197367
1590,4,2.9,1.5,3,4.95,6,393875
833,4,2.4,2.0,9,4.9,8,270645
2901,4,2.9,1.0,5,19.72,6,544793
1964,2,2.6,1.5,35,15.25,9,420931
1354,5,2.6,2.0,36,2.06,3,269809
1480,3,2.3,1.5,6,8.26,6,352511
1013,3,1.7,2.0,6,0.2,3,241295
2658,3,2.9,1.0,5,7.25,3,526073
3278,3,2.7,1.0,2,11.35,6,623642
779,6,4.6,1.0,3,9.57,5,301597
2682,4,3.5,3.0,12,0.7,4,521245
1716,5,3.9,1.0,4,2.93,10,470262
2851,5,3.8,1.0,21,0.27,9,617189
525,4,2.7,1.0,55,17.45,6,113902
2069,4,2.8,2.0,2,0.6,10,505138
1594,5,3.5,1.0,16,6.0,3,373581
2394,2,1.5,2.0,15,1.43,10,479071
1946,3,1.3,1.0,24,12.58,10,423313
1917,3,2.8,2.0,5,4.67,6,426539
1821,4,4.0,2.5,5,2.67,8,480460
3072,4,2.8,1.0,30,1.43,5,568423
1769,3,2.8,3.0,1,8.42,10,437839
2548,4,2.9,3.0,25,5.82,6,511132
2371,4,2.7,1.0,18,3.82,4,419114
2567,3,2.1,2.0,25,4.01,3,460643
1139,4,3.0,2.0,6,1.98,8,346952
2430,5,3.4,2.0,22,34.1,10,435975
2153,3,2.6,2.0,28,3.52,8,468524
1008,3,2.0,2.0,10,4.15,8,299568
1741,4,2.5,1.0,13,6.22,9,421459
3621,3,2.2,2.0,35,11.57,5,626437
1606,2,1.2,1.0,17,18.37,5,295180
1624,5,3.6,2.0,2,7.66,9,431848
2238,2,1.5,1.0,48,9.93,8,431032
1494,3,1.6,2.0,5,10.47,4,319354
2005,5,4.5,2.0,31,14.12,3,369622
1563,4,3.4,1.0,21,7.76,9,395432
2202,3,1.9,2.0,43,5.21,9,448048
1854,3,2.2,2.0,16,16.51,6,388652
3364,2,1.8,1.0,16,10.01,9,613782
1935,2,1.6,1.0,10,1.55,9,416681
1733,5,4.7,1.0,12,1.56,8,437908
2672,1,,1.0,57,4.95,10,511227
857,2,2.1,2.0,29,6.44,10,270361
3169,4,2.3,1.0,31,11.1,5,586806
1159,5,3.2,2.0,2,12.37,10,385038
2794,4,3.8,1.0,7,1.58,7,572614
2992,3,2.0,1.0,14,1.39,6,555482
1506,3,1.7,2.0,8,12.33,4,312086
1578,6,4.5,1.0,7,5.01,8,446501
1818,4,3.6,2.0,60,8.17,9,372634
2366,4,2.6,1.0,16,18.63,4,445105
1151,3,2.2,2.0,3,4.03,6,317081
1818,4,2.1,2.0,6,18.3,10,394899
1665,6,4.3,2.0,2,17.04,10,422103
1037,3,2.7,2.0,10,0.86,6,307813
1116,3,1.9,1.0,53,5.0,10,327263
1996,1,1.0,2.0,19,4.12,9,408983
1983,4,2.6,2.0,9,33.15,5,370630
1327,3,1.9,2.0,16,2.82,6,311730
1959,3,2.6,1.0,24,13.56,3,369137
1415,4,3.2,1.0,11,26.33,3,273465
2880,4,3.3,1.0,15,10.49,7,561009
1823,3,2.3,1.0,48,5.5,3,381695
2723,5,3.4,1.0,42,4.91,5,523984
630,2,1.1,1.0,28,2.07,4,148707
2142,3,2.5,1.0,5,3.54,5,458873
2347,4,3.8,1.0,1,0.2,4,522911
1797,4,2.5,1.0,3,5.86,7,432081
1496,4,2.5,2.0,0,2.05,9,402208
1785,4,2.4,3.0,5,6.18,7,397954
2457,4,3.4,1.0,7,12.13,9,510997
992,4,3.0,1.0,2,3.05,7,312932
2425,6,4.8,1.0,9,4.3,8,555115
2139,5,3.5,2.0,9,11.68,5,443270
1704,3,2.6,2.5,14,17.76,5,367532
1736,4,2.9,1.0,28,23.92,4,343337
1946,3,1.5,1.0,48,1.36,7,413833
3144,4,3.5,1.0,6,9.03,4,576413
2161,1,1.0,1.0,68,9.35,8,357000
1193,3,2.1,1.0,31,1.92,8,313442
1574,5,3.9,2.0,90,6.11,10,367991
1042,4,2.3,1.0,26,4.75,6,282069
483,1,1.0,1.0,8,0.82,10,227215
1028,3,2.0,2.0,16,3.72,6,307062
1990,3,2.2,2.0,13,0.2,8,444887
2855,4,3.6,1.0,31,2.06,10,611335
2647,2,1.8,2.0,12,20.22,7,488420
1034,4,2.9,1.0,9,1.66,10,346635
1302,4,2.9,1.0,30,11.02,7,331003
1196,4,1.7,1.0,4,11.47,3,260155
450,3,1.8,1.0,7,46.16,6,89561
1774,4,3.1,1.0,15,6.18,9,438164
2502,4,2.6,2.0,37,4.93,8,474434
1711,3,1.6,2.0,10,26.79,4,318522
949,3,2.5,1.0,39,10.35,5,208450
1266,4,3.7,1.0,3,4.32,8,397109
1653,3,1.9,1.0,45,3.23,9,362801
2478,3,2.7,1.0,7,21.65,4,473887
1763,3,2.6,2.0,14,27.26,6,338445
2376,3,1.8,1.0,34,7.49,4,424510
1839,4,2.6,2.0,7,0.59,5,432832
2078,5,4.7,1.5,26,14.55,10,487505
1195,4,2.4,2.0,21,8.67,3,271881
1386,2,1.2,1.0,10,17.75,7,288988
958,3,3.2,1.0,4,1.45,6,291441
2351,2,1.2,1.0,3,16.1,5,470652
1682,4,3.7,2.0,6,0.9,10,422704
450,4,2.5,1.5,23,1.9,10,220717
2261,6,4.6,2.0,32,5.24,3,488890
2631,3,2.8,1.0,9,6.09,5,532363
1291,2,1.3,1.0,36,16.98,4,218474
2260,4,3.0,2.0,44,0.96,3,399482
1743,3,2.6,1.0,13,5.23,7,420583
450,2,1.0,2.5,24,2.33,6,151678
3365,3,3.4,2.0,21,4.48,6,619085
1747,3,2.8,1.0,91,12.25,8,325818
2051,2,1.3,2.0,4,7.98,10,428545
1432,3,2.1,1.0,6,23.53,8,338242
1678,4,4.0,3.0,7,5.83,7,417614
2021,5,3.6,2.0,15,13.3,6,421652
1118,3,2.0,1.0,3,11.81,6,271142
3170,3,2.8,2.0,10,8.11,7,626821
2529,4,2.3,1.0,51,3.54,5,462550
2288,6,4.5,1.0,20,12.91,7,511355
1794,4,3.0,1.0,0,0.78,6,430190
1329,3,1.9,1.0,8,1.37,5,292725
2673,5,3.0,1.0,45,7.03,9,552008
2358,4,3.0,3.0,17,13.63,3,460961
1600,2,1.8,1.5,2,1.29,9,429189
1087,2,1.2,2.0,40,12.64,4,175931
718,5,3.2,1.0,1,6.45,6,214586
1921,5,4.4,2.0,11,19.8,8,451455
1713,3,2.5,2.0,29,0.43,10,404601
2789,4,2.8,2.0,23,0.2,9,554157
2644,3,2.7,2.0,3,2.85,8,554766
1929,4,3.1,1.5,31,7.58,6,400262
1839,3,3.1,2.0,27,0.2,5,375167
1036,3,2.6,2.5,18,10.3,5,260071
2696,3,1.6,1.0,50,2.75,9,524236
1857,3,1.9,1.0,0,3.83,7,423844
2354,5,3.4,3.0,18,12.56,3,458570
2783,5,3.9,2.5,28,1.36,3,547060
1476,2,1.3,1.5,4,4.21,3,279280
1279,3,1.7,2.0,3,11.95,7,312960
3752,3,2.5,2.5,18,1.16,10,723542
2346,1,1.3,1.5,4,0.2,6,456906
1691,3,2.2,1.0,33,2.5,4,331479
2830,3,2.4,1.5,3,3.5,6,543313
1669,2,1.0,1.0,40,26.67,8,292016
2144,6,4.2,1.0,3,10.98,3,475904
1474,4,2.8,3.0,7,13.38,8,393069
1887,2,1.8,2.0,58,6.68,10,408187
1694,4,3.1,2.0,29,8.16,10,382754
1336,3,2.1,2.0,28,2.63,4,281033
2082,4,,1.0,6,2.1,10,509318
1421,3,1.3,2.0,21,5.26,3,315585
2332,2,2.3,2.0,10,3.51,6,451616
1672,3,1.2,2.0,22,8.85,6,348816
610,6,4.7,1.0,10,3.74,8,277234
2366,4,3.0,2.0,18,0.62,9,529435
2378,4,2.9,1.0,50,9.46,7,447244
3590,4,3.0,1.0,4,4.31,9,709794
1913,4,2.7,2.0,96,5.95,10,360536
2037,5,4.1,3.0,39,19.07,7,391178
2259,2,1.0,1.0,4,11.74,7,494878
2665,2,1.7,1.0,21,3.49,7,510456
2618,4,,3.0,3,13.88,5,544192
2139,6,4.3,3.0,100,5.84,6,438078
1875,3,2.1,1.0,8,0.2,7,397033
2532,6,4.4,2.0,6,4.8,3,535486
1844,4,3.3,2.5,12,9.4,6,388213
933,2,1.5,1.0,25,6.42,5,222339
774,5,4.2,2.0,22,2.2,8,266067
1680,4,3.5,1.0,1,22.36,6,343183
1990,3,2.4,2.0,24,7.96,4,372843
3754,4,3.3,1.0,10,33.73,7,635908
1810,3,3.3,2.0,41,3.81,6,385473
1935,4,2.3,2.0,11,34.71,8,357262
1597,3,2.8,1.0,2,16.36,8,376015
2364,3,3.0,2.0,10,3.25,10,547086
2110,4,3.2,1.0,10,9.02,7,465465
1421,2,2.5,1.0,33,7.66,7,317313
1141,2,2.4,2.5,11,3.01,5,294936
1598,2,1.3,2.5,35,3.19,8,321003
1267,4,2.9,2.0,6,2.72,6,360341
1727,3,,2.5,2,4.23,10,411703
2006,3,1.9,1.0,19,9.61,8,449378
1524,3,3.6,1.5,12,1.26,5,383493
2991,1,1.1,2.0,8,6.95,10,582395
2770,4,3.0,2.5,4,3.66,6,572736
1728,4,2.3,1.0,7,3.69,7,408693
1177,4,3.1,1.0,51,15.58,8,267507
1878,1,1.0,2.0,58,18.74,8,303886
1800,4,3.4,1.0,22,1.01,7,456256
1853,3,1.0,2.0,3,6.32,8,411920
1601,4,3.7,1.0,10,9.61,10,398401
1113,2,1.3,1.5,10,0.57,4,278022
1926,4,2.2,1.0,43,11.87,7,392057
1637,6,4.5,2.0,33,1.33,7,413797
1704,5,3.8,3.0,14,0.92,10,441835
1970,5,3.7,1.5,25,14.62,7,441698
1848,2,2.2,3.0,2,7.86,4,394304
1954,3,2.4,1.0,1,27.95,9,410566
1602,3,2.6,1.0,12,1.44,9,405821
2170,3,2.1,2.0,4,3.69,9,469061
1362,4,3.2,1.0,52,16.39,4,279627
1084,4,2.3,1.0,7,1.67,4,281395
1233,6,4.6,2.0,1,2.32,3,329999
1392,5,3.4,1.0,30,3.95,6,371276
934,3,2.9,2.5,6,19.39,3,204664
630,5,3.8,1.5,6,4.44,9,258701
2278,5,4.1,1.0,7,1.14,7,547203
2856,4,3.1,1.0,3,2.56,5,538540
2318,3,3.2,1.0,7,8.41,5,461735
1538,2,1.0,2.0,32,1.69,6,302730
613,3,2.2,1.0,16,3.9,4,189231
2044,1,1.0,2.0,1,2.21,6,454641
695,3,1.2,1.0,18,20.38,8,198247
1835,2,1.0,1.0,0,0.24,6,404016
1300,3,,2.0,16,9.01,6,330152
450,4,3.0,1.0,13,0.63,9,239521
3010,2,1.4,1.5,1,15.97,6,556634
958,5,4.1,2.0,20,6.09,3,280500
1633,2,1.6,1.0,15,0.2,7,384636
1803,3,2.6,1.5,5,6.45,4,370943
1547,3,2.4,3.0,28,20.21,9,346472
2248,4,3.3,1.0,50,35.15,4,361142
1344,3,2.0,2.0,13,3.12,8,366702
2186,4,3.5,1.0,4,0.48,6,480641
2139,3,1.6,2.0,20,23.71,6,423764
867,3,2.2,1.0,23,2.19,10,296641
2077,3,2.8,1.0,8,16.21,9,444634
1110,2,1.4,1.0,9,3.37,4,259815
1026,6,4.3,2.0,41,1.67,9,338630
2118,3,3.4,1.0,34,19.5,5,382086
1594,2,2.2,2.0,17,2.04,6,369696
2180,4,3.1,1.0,11,4.86,9,495457
2186,4,2.5,2.5,20,11.67,4,456334
829,3,1.2,2.5,7,12.88,6,220173
2455,6,4.9,2.0,44,6.89,3,482921
2114,3,2.9,2.0,11,12.09,7,433974
1460,2,1.7,2.0,9,2.91,8,389245
1798,4,2.1,2.0,31,1.13,7,374504
2477,5,3.8,1.0,5,0.28,10,581304
1660,3,2.0,2.0,7,16.27,8,374283
3486,1,1.0,2.0,1,10.94,3,557261
3018,4,4.0,2.0,7,1.65,4,641251
1988,4,3.4,1.5,4,0.66,6,443194
1729,3,2.5,2.0,2,4.43,6,397755
1761,6,4.5,1.0,5,8.84,4,449771
1450,2,1.7,1.0,6,0.72,7,345843
1994,4,2.6,1.0,2,4.77,7,455601
2416,5,4.0,2.0,0,14.45,6,504270
888,2,1.4,1.0,8,8.1,9,266555
2382,3,1.8,3.0,61,1.89,6,455412
2600,1,1.2,2.0,7,1.77,9,512648
2329,4,1.9,2.0,18,3.26,8,443381
1803,3,2.0,2.5,1,2.54,10,442298
2298,4,3.3,1.0,1,4.59,8,516951
2874,3,2.9,2.5,7,9.31,6,556340
1856,3,2.5,1.0,33,2.97,3,360633
1918,2,1.2,1.0,7,2.01,8,404221
3499,2,1.5,1.0,9,2.19,7,637077
2130,3,2.4,1.0,74,10.11,10,444634
1145,5,4.5,1.0,13,6.21,7,346837
2555,4,3.5,1.0,59,1.75,8,521235
2201,3,2.7,3.0,11,7.65,10,470283
1408,6,4.5,1.0,48,0.93,10,395739
1072,2,1.0,2.5,10,11.9,4,216248
2079,6,3.8,2.0,4,4.16,4,491580
1855,3,2.1,2.0,17,3.35,9,398496
967,2,1.8,2.0,55,1.03,4,218736
1834,5,3.5,3.0,26,16.05,9,426294
1786,3,2.5,1.0,17,0.63,4,387318
1853,5,3.4,1.5,9,7.99,5,376636
2269,4,2.7,1.0,4,2.09,9,479740
579,2,2.2,1.0,55,8.81,4,145524
1066,2,1.9,1.0,49,2.32,3,204526
1535,3,2.1,1.5,19,13.34,9,344734
2895,3,1.8,3.0,16,2.0,9,569874
3676,3,2.7,1.0,14,0.98,9,686692
1904,2,1.9,2.5,75,1.23,6,326566
1934,2,1.8,1.0,31,1.44,9,417980
450,3,2.2,2.0,37,5.54,8,157855
2578,1,1.0,1.0,75,16.01,6,386029
2237,3,2.2,3.0,1,0.2,8,483445
2112,1,1.5,2.0,57,15.83,4,331742
965,5,3.3,1.0,43,13.2,6,298814
3385,4,3.0,2.5,7,4.31,9,656355
3040,2,2.3,1.0,1,14.28,4,545461
2121,4,2.8,2.5,61,11.13,6,401692
2644,3,2.2,1.0,13,9.44,7,524379
1938,3,1.6,1.0,3,14.15,7,399596
2516,3,2.6,1.0,3,3.82,10,574827
920,3,1.9,2.0,9,3.35,8,299011
450,5,3.0,2.0,48,0.67,3,186196
948,2,1.0,2.0,1,3.57,10,271223
1295,4,3.1,1.0,60,4.1,4,281708
1417,2,1.0,1.0,7,3.16,7,324078
2236,3,1.6,1.5,22,1.05,9,460812
1707,3,2.5,1.0,11,5.78,7,380613
1879,2,1.5,1.0,13,45.85,3,269799
1012,2,1.0,1.5,19,2.07,5,256251
947,3,2.1,2.0,38,9.31,3,226441
1931,3,3.1,2.0,13,4.22,6,441001
1493,5,4.4,1.0,9,4.92,10,435693
1903,4,2.9,2.5,45,0.29,5,397669
2308,5,4.2,2.0,66,3.1,9,484046
3130,5,,2.0,28,27.92,3,525323
1885,1,1.0,2.0,33,6.39,5,330471
3260,5,2.8,1.5,12,1.45,7,637610
2205,5,3.3,3.0,2,13.09,10,515060
2417,3,1.5,1.0,0,6.2,7,519578
2690,4,3.1,1.0,38,15.16,8,510983
2440,3,2.0,2.0,3,0.91,9,513530
1299,2,1.7,2.0,23,18.7,3,257325
2712,3,2.5,1.0,0,23.2,10,500196
1619,2,1.8,2.0,2,6.66,6,378743
2126,3,1.8,2.0,11,3.77,5,404927
2000,4,3.3,1.0,44,12.81,9,436595
2758,1,1.0,2.5,17,1.01,6,497838
2195,2,1.9,1.5,48,1.85,8,437561
860,2,2.1,2.0,23,11.07,5,253392
3469,6,4.9,2.0,0,2.5,7,702198
2526,4,2.9,1.0,29,8.1,4,457178
1487,1,1.0,2.0,1,13.52,6,310409
1047,4,2.2,1.0,70,2.93,6,272227
2612,4,2.1,2.0,32,5.6,4,484046
1136,4,3.2,2.0,30,12.94,10,320410
2501,5,4.4,2.0,13,6.36,7,545728
2702,3,1.6,2.5,35,13.39,9,486923
1413,3,2.3,2.0,7,0.53,4,338207
1346,5,4.0,1.0,47,1.42,6,334642
1547,4,2.7,2.0,0,7.8,9,426417
1158,3,2.1,2.0,28,3.88,4,283790
2072,4,3.3,1.0,26,3.54,4,403061
2179,3,2.3,1.0,98,11.28,10,389482
2446,3,2.3,1.5,18,9.35,3,455939
1275,4,2.5,2.5,4,4.81,6,319036
2530,2,1.5,2.0,2,6.32,3,442706
1159,3,2.1,2.5,12,1.0,5,290977
2530,3,2.1,1.5,37,3.36,9,512494
785,1,1.0,3.0,4,0.77,5,242206
3076,3,2.2,2.0,19,5.67,6,574995
