fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.94,0.507,0.29,0.9,0.031,7.8,21.9,0.9993,3.44,0.62,9.89,5
8.42,0.681,0.19,3.33,0.012,1.0,53.6,0.9953,3.36,1.1,11.77,6
9.65,0.362,0.35,2.24,0.159,21.4,62.2,0.9968,3.46,0.68,9.69,5
5.63,0.278,0.5,0.9,0.099,6.3,19.1,0.9952,3.5,0.72,10.9,6
6.49,0.474,0.59,6.77,0.142,19.3,44.9,0.9972,3.41,0.67,11.01,5
7.84,0.541,0.13,0.9,0.131,7.4,66.8,0.9973,3.2,0.59,10.66,5
5.85,0.307,0.48,1.15,0.115,23.3,80.4,0.9985,3.26,0.82,9.03,5
7.61,0.28,0.37,3.79,0.072,17.8,21.5,0.9992,3.6,0.46,10.77,6
7.66,0.563,0.46,0.9,0.11,1.0,23.7,0.998,3.36,0.33,9.95,5
10.53,0.394,0.25,1.83,0.154,19.9,88.3,0.9951,3.34,,12.22,6
8.54,0.269,0.23,2.88,0.091,12.9,41.5,0.9941,3.18,0.8,11.62,6
10.05,0.704,0.45,0.9,0.176,30.8,66.4,0.9977,3.3,0.56,9.99,5
8.81,0.416,0.45,1.07,0.017,20.0,72.6,0.9996,3.42,0.69,12.29,6
7.39,0.737,0.57,0.9,0.012,23.8,29.2,0.9967,3.31,0.45,10.77,6
8.53,0.535,0.31,0.9,0.133,8.4,21.6,0.9938,3.23,0.84,8.61,5
9.54,0.583,0.25,0.9,0.049,7.6,33.1,1.0007,3.27,,10.32,6
10.33,0.492,0.0,2.61,0.183,15.6,71.7,0.9976,3.49,0.66,12.15,5
8.08,0.12,0.0,1.19,0.15,12.1,64.5,0.997,3.41,0.69,9.52,6
5.5,0.325,0.2,0.9,0.162,29.9,76.3,0.9945,3.39,0.42,10.33,5
5.38,0.507,0.06,3.27,0.129,14.3,43.5,0.9967,3.38,0.43,8.94,4
7.75,0.596,0.42,1.54,0.044,3.0,57.6,0.998,3.13,0.64,9.11,5
4.6,0.208,0.02,2.41,0.012,7.2,36.2,0.9977,3.35,0.75,9.51,5
11.35,0.52,0.17,0.9,0.157,26.0,69.6,0.9954,3.47,0.76,9.09,5
9.31,0.328,0.18,0.9,0.017,14.1,64.4,0.9966,3.27,0.6,9.74,6
7.22,0.572,0.5,1.77,0.161,13.6,79.5,0.9955,3.46,0.79,12.26,6
6.41,0.527,0.15,1.62,0.118,27.0,57.9,0.9999,,0.9,10.36,5
10.05,0.664,0.36,4.74,0.083,6.3,31.0,0.9984,3.43,0.64,11.24,6
6.41,0.722,0.31,2.73,0.108,1.0,58.9,0.9957,3.32,0.71,11.57,5
6.57,0.613,0.44,0.9,0.109,6.9,66.4,0.9945,3.44,0.62,9.21,5
7.0,0.685,0.43,2.6,0.077,18.4,39.6,0.9972,3.09,0.64,9.51,5
8.49,0.467,0.26,0.9,0.154,13.3,23.2,0.9958,3.31,0.69,11.22,6
9.36,1.038,0.0,3.46,0.152,1.0,57.4,0.9959,3.42,0.95,9.72,5
10.33,0.311,0.23,2.9,0.094,26.6,27.6,0.9945,3.35,0.82,11.15,6
10.08,0.435,0.27,0.9,,17.6,18.6,0.9948,3.47,0.8,12.19,6
8.3,0.692,0.32,1.33,0.148,20.0,46.6,0.997,3.29,0.58,8.84,4
10.03,0.665,0.13,0.9,0.012,20.3,52.4,0.9962,3.23,0.51,10.02,5
7.16,0.618,0.49,6.55,0.108,2.3,11.1,1.0014,3.06,0.73,10.19,7
5.2,0.652,0.27,0.9,0.122,19.1,53.5,0.9978,3.27,0.87,9.84,5
7.16,0.155,0.1,1.47,0.048,25.4,60.8,0.9945,3.39,0.95,9.75,7
6.93,0.816,0.18,2.49,0.133,27.9,48.3,0.9938,3.42,0.33,9.87,5
7.23,0.493,0.64,0.9,0.086,23.5,94.1,0.9975,3.1,1.08,10.38,5
6.67,0.754,0.4,1.83,0.061,21.3,59.9,0.9959,3.49,0.73,10.58,6
7.52,0.164,0.47,2.73,0.132,1.0,53.6,0.9992,3.16,0.81,11.42,6
9.35,0.576,0.07,11.55,0.036,15.7,16.7,0.9972,3.29,0.36,10.37,6
11.22,0.429,0.14,0.9,0.128,5.9,6.9,0.9929,3.22,0.62,11.6,6
5.37,0.633,0.14,0.9,0.012,29.4,68.6,0.9948,3.37,0.8,9.77,5
6.11,0.587,0.31,0.9,0.1,27.8,94.9,0.9954,3.32,0.46,9.11,4
6.95,0.596,0.24,5.58,0.089,5.9,15.7,0.9975,3.41,0.33,10.07,5
9.6,0.339,0.18,2.09,0.062,15.4,48.3,0.9947,3.59,0.72,10.89,5
7.95,0.52,0.2,0.9,0.105,18.5,23.8,0.997,3.37,0.65,11.32,6
7.07,0.498,0.12,2.96,0.083,25.4,41.0,0.9942,3.22,0.91,11.96,6
9.52,0.619,0.24,0.9,0.137,1.0,34.9,0.9967,3.38,0.63,10.71,5
9.93,0.708,0.48,0.9,0.113,1.0,21.1,0.9974,3.6,0.65,11.21,5
8.27,0.557,0.0,2.31,0.108,16.3,20.2,0.9995,3.41,0.78,11.86,6
6.91,0.3,0.34,3.86,0.101,1.0,4.4,0.9972,3.45,0.84,9.57,5
8.76,0.549,0.53,3.92,0.065,17.6,18.6,0.9951,3.07,0.54,10.18,5
7.9,1.0,0.24,3.32,0.073,22.1,61.6,0.9995,3.37,0.82,13.36,6
7.89,0.826,0.17,3.26,0.099,28.9,70.8,0.9964,3.27,0.57,11.32,6
7.43,0.12,0.45,3.86,0.079,9.4,51.2,0.9982,3.21,0.66,10.95,6
9.87,0.541,0.08,0.9,0.139,17.6,29.4,0.9955,3.31,0.77,11.36,6
8.72,0.698,0.27,4.42,0.091,22.7,72.9,0.9969,3.33,0.8,8.97,4
10.06,0.497,0.07,1.91,0.105,3.6,47.7,0.9952,3.22,0.71,9.71,5
10.57,0.447,0.0,2.21,0.021,25.5,55.7,0.9973,3.34,0.48,9.32,5
9.08,0.482,0.24,1.83,0.131,18.8,45.6,0.9982,3.28,0.34,10.85,5
7.44,0.629,0.03,0.9,0.06,9.5,26.6,0.9958,3.42,0.63,10.01,6
10.07,0.323,0.27,1.63,0.038,17.4,51.2,0.9957,3.34,0.83,10.5,6
9.09,0.744,0.48,0.9,0.164,14.4,76.8,0.9974,3.37,0.74,10.07,5
12.73,0.52,0.62,0.9,0.12,24.1,76.8,0.9951,3.46,0.7,8.66,5
8.83,0.362,0.29,1.6,0.133,12.1,37.0,0.9938,3.39,0.66,11.35,7
9.49,0.732,0.46,2.2,0.108,18.3,59.1,0.9974,3.31,0.71,8.51,5
8.79,0.252,0.35,0.9,0.083,9.4,17.4,0.9965,3.0,0.49,9.62,4
8.13,0.43,0.2,2.03,0.074,6.1,50.7,0.9965,3.39,0.79,8.99,6
7.86,0.427,0.0,0.9,0.124,17.7,31.1,0.9977,3.17,0.8,9.46,5
8.8,0.916,0.58,0.9,0.14,6.5,50.3,0.998,3.3,0.6,10.62,4
9.19,0.407,0.07,2.18,0.084,24.3,113.7,0.9964,3.37,0.73,11.72,7
10.26,0.142,0.53,1.73,0.184,22.1,40.7,0.9946,3.51,0.37,8.73,6
8.83,0.425,0.37,1.71,0.078,7.9,96.3,0.9955,3.59,0.69,9.8,5
7.51,0.612,0.08,6.31,0.021,18.1,58.0,0.9978,3.17,0.64,8.53,5
7.74,0.671,0.33,4.47,0.012,7.8,22.8,0.997,3.11,0.87,9.75,6
6.05,0.94,0.68,2.63,0.012,1.0,15.1,0.9957,3.36,0.63,10.48,5
11.12,0.783,0.56,4.37,0.068,9.6,86.9,0.9952,3.35,,11.22,6
7.38,0.564,0.17,0.9,0.076,15.4,55.2,0.9979,3.13,0.59,8.4,5
9.94,0.37,0.13,4.52,0.119,21.4,40.1,0.9963,3.31,0.33,10.99,5
8.77,0.822,0.29,1.49,0.086,17.5,43.4,0.9981,3.4,0.62,9.36,4
8.82,0.464,0.24,2.23,0.127,25.4,64.0,0.9984,3.13,0.69,9.1,6
8.1,0.412,0.5,1.85,0.089,5.6,35.4,0.9961,3.16,0.69,10.47,6
6.96,0.455,0.41,2.81,0.088,11.9,48.9,0.9985,3.21,0.69,11.07,6
6.65,0.305,0.0,1.55,0.06,33.2,98.6,0.997,3.28,0.57,10.29,6
11.24,0.446,0.36,1.96,0.154,1.0,8.4,0.9972,3.41,0.6,9.23,5
8.49,0.488,0.24,1.68,0.015,11.2,54.0,0.9925,3.26,0.47,10.29,6
10.21,0.662,0.28,9.09,0.101,4.6,33.2,0.9949,3.32,0.33,9.62,6
10.65,0.46,0.32,0.9,0.078,13.8,33.9,0.995,3.65,0.64,11.05,5
7.6,0.302,0.5,1.28,0.124,11.3,62.8,0.9961,3.17,0.53,11.55,6
9.02,0.241,0.46,2.11,0.086,22.2,23.2,0.9969,3.21,0.84,11.48,6
8.38,0.568,0.13,1.85,0.087,18.6,19.6,0.997,3.41,0.33,10.38,5
6.33,0.543,0.26,0.9,0.074,2.2,36.7,0.9972,3.46,0.71,11.6,7
7.98,0.43,0.18,2.66,0.152,9.7,37.0,0.9954,3.37,1.02,9.31,7
9.3,0.446,0.0,1.22,0.087,15.9,18.8,0.998,3.58,,12.31,6
7.45,0.6,0.25,0.9,0.18,23.7,24.7,1.0001,,0.66,9.3,5
7.75,0.78,0.62,2.38,0.1,41.4,110.1,0.996,3.01,0.73,8.4,4
8.01,0.39,0.0,3.69,0.088,23.3,62.5,0.9954,3.32,0.75,11.86,6
11.89,0.546,0.27,0.9,0.08,5.3,35.7,0.9954,3.22,0.59,9.64,5
5.18,0.702,0.26,0.9,0.114,14.9,88.8,0.9969,3.52,0.49,10.52,5
9.15,0.39,0.32,1.73,0.059,17.8,68.2,0.9957,3.45,0.77,9.3,6
7.87,0.527,0.09,0.9,0.094,10.4,75.8,0.9934,3.07,0.34,12.93,6
7.21,0.523,0.0,2.98,0.087,20.8,27.2,0.9939,3.51,0.8,12.35,6
7.83,0.294,0.01,3.34,0.102,1.0,6.7,0.9986,3.45,0.59,12.05,6
9.43,0.56,0.52,2.18,0.103,21.7,64.0,0.9991,3.26,0.66,10.49,6
9.53,0.536,0.08,2.1,0.106,10.9,49.2,0.9997,3.3,0.57,11.45,5
8.62,0.63,0.18,0.9,0.091,14.7,69.7,0.9971,3.52,0.9,10.34,5
10.16,0.316,0.67,5.96,0.161,31.3,32.3,0.9948,3.01,0.7,11.6,5
10.46,0.532,0.13,0.9,0.107,2.7,46.7,0.9959,3.38,0.61,9.96,6
9.69,0.779,0.34,2.16,0.209,18.8,68.5,0.9939,3.47,0.6,12.1,5
7.37,0.904,0.47,10.99,0.089,24.2,73.0,0.9938,3.3,0.63,9.91,4
9.14,0.76,0.46,1.24,0.132,17.7,39.6,0.9972,3.41,1.07,10.03,4
9.15,0.318,0.02,1.03,0.053,1.0,41.4,0.9977,3.33,0.44,9.9,5
6.91,0.611,0.13,3.26,0.153,30.1,44.6,1.0004,3.19,0.84,10.61,5
5.63,0.443,0.33,0.9,0.054,13.7,37.8,0.9965,3.19,0.76,9.98,6
4.86,0.581,0.64,1.18,0.108,10.4,19.5,0.9941,3.42,0.92,10.92,6
8.42,0.391,0.13,0.9,0.075,12.6,27.5,0.9965,3.21,0.77,9.89,5
8.81,0.222,0.18,4.31,0.108,11.9,37.1,0.9962,3.08,0.66,11.25,6
6.29,0.468,0.35,2.57,0.076,3.4,23.6,0.9958,3.33,,12.02,6
10.08,0.66,0.39,1.45,0.05,17.6,32.5,0.9974,3.23,0.7,10.48,7
8.56,0.582,0.4,15.5,0.074,9.6,13.6,0.9944,3.13,0.79,12.77,6
10.59,0.603,0.11,2.25,0.159,22.9,92.2,0.9969,3.32,0.9,11.61,6
8.93,0.569,0.17,0.9,0.109,21.3,41.3,0.9979,3.43,0.68,12.69,7
6.49,0.603,0.31,3.26,0.026,33.0,69.6,0.9994,3.31,0.59,10.33,5
9.08,0.625,0.51,6.77,0.138,13.7,14.7,0.9973,3.15,0.55,8.62,5
9.44,0.481,0.22,2.86,0.045,7.5,64.6,0.9987,3.38,0.74,9.64,5
7.37,0.545,0.27,2.48,0.122,1.0,34.3,0.9959,3.47,0.51,9.75,5
5.85,0.844,0.08,1.08,0.113,38.9,60.1,0.9961,3.64,0.6,9.38,5
8.47,0.556,0.62,0.9,0.116,22.9,44.1,0.9993,3.53,0.5,8.4,5
6.6,0.538,0.3,4.52,0.174,8.6,56.0,0.9941,3.16,0.75,11.5,5
10.21,0.549,0.47,0.9,0.048,33.7,34.7,0.9959,3.44,0.53,8.41,6
7.61,0.491,0.28,0.9,0.116,30.1,43.7,0.9988,3.35,0.44,11.39,6
11.23,0.452,0.29,0.91,0.146,1.7,29.3,0.9963,3.14,0.47,12.74,5
4.69,0.568,0.0,0.9,0.057,8.0,35.4,0.9962,3.35,0.56,9.57,5
8.53,0.439,0.0,2.78,0.052,14.5,94.6,0.9962,3.6,0.58,10.81,5
10.73,0.504,0.51,0.9,0.074,4.7,27.9,0.9969,3.49,0.7,9.97,6
6.79,0.388,0.28,1.88,0.102,14.9,64.7,0.9988,3.16,0.63,11.28,6
8.03,0.549,0.31,0.9,0.021,23.4,89.6,0.9985,3.31,0.72,9.12,5
7.61,0.635,0.03,7.55,0.113,1.5,44.9,0.9967,3.38,0.74,10.26,5
7.14,0.492,0.1,3.2,0.021,19.0,35.5,0.9988,3.05,0.79,11.6,6
8.72,0.168,0.47,2.77,0.148,28.2,32.5,0.9973,3.06,0.34,10.35,6
6.1,0.636,0.6,4.48,0.111,20.1,65.0,0.9983,3.33,0.47,8.66,5
8.11,0.552,0.15,0.9,0.177,15.1,78.0,0.9947,3.34,0.75,11.73,6
9.18,0.351,0.4,9.8,0.118,8.9,49.8,1.0,3.03,0.7,9.01,4
7.93,0.669,0.31,0.9,0.073,24.6,79.3,0.9971,3.37,0.83,10.48,6
6.6,0.278,0.25,5.62,0.049,3.5,85.4,0.9915,3.47,0.4,11.02,6
10.05,0.718,0.62,1.65,0.098,18.4,65.2,0.9999,3.28,0.58,10.53,5
9.54,0.52,0.18,1.19,0.086,16.2,24.2,0.9967,3.32,0.61,13.12,6
6.53,0.122,0.51,2.87,0.143,27.7,58.7,0.9959,3.4,0.69,11.19,5
6.1,0.562,0.34,6.13,0.043,9.8,67.2,0.9955,3.38,0.67,10.18,6
6.68,0.457,0.27,3.16,0.182,10.7,35.7,0.9975,3.06,0.74,11.04,5
9.23,0.43,0.53,0.9,0.147,2.9,63.0,0.995,3.17,0.64,10.62,6
8.77,0.397,0.33,0.9,0.077,20.5,49.2,0.9956,3.25,0.89,10.45,6
9.64,0.507,0.25,1.15,0.171,11.4,48.1,0.9956,3.18,0.95,10.66,6
7.75,0.443,0.53,2.88,0.05,6.8,29.8,0.9961,3.53,0.47,9.94,5
6.73,0.196,0.51,1.73,0.097,7.8,41.0,0.9957,3.41,0.67,10.63,6
9.86,0.759,0.5,2.93,0.027,21.5,55.8,0.9983,3.14,0.8,9.86,5
7.36,0.486,0.0,5.2,0.174,4.3,5.3,0.9972,3.28,0.76,8.4,4
8.62,0.398,0.35,0.9,0.012,5.3,26.4,0.9974,3.48,0.59,11.62,6
5.67,0.327,0.31,1.74,0.019,25.3,30.6,0.9979,3.21,0.7,9.79,5
7.33,0.669,0.26,2.78,0.057,14.2,36.0,0.9965,3.44,0.39,10.55,6
10.02,0.296,0.39,0.9,0.149,25.9,40.0,0.9948,3.52,0.66,9.59,5
7.08,0.554,0.32,10.39,0.132,12.1,62.4,1.0001,3.49,0.41,9.62,5
9.68,0.425,0.4,2.78,0.093,15.9,66.4,0.9985,3.34,0.75,9.29,6
4.6,0.435,0.22,0.9,0.135,17.5,58.7,0.9998,3.5,0.47,11.41,6
7.35,0.331,0.55,0.9,0.082,30.5,35.1,0.9987,3.23,0.69,11.67,6
8.01,0.418,0.42,8.62,0.107,29.6,57.6,0.9958,3.68,0.71,10.43,6
11.26,0.532,0.37,3.06,0.165,28.0,31.1,0.9922,3.35,0.67,9.83,5
6.31,0.572,0.36,1.21,0.075,9.3,36.4,0.9944,3.48,0.55,8.59,5
9.44,0.389,0.49,1.15,0.051,5.5,48.5,0.9979,3.26,0.62,11.25,7
10.1,0.514,0.46,0.9,0.109,23.9,73.7,0.9965,3.38,0.86,9.68,6
7.07,0.69,0.25,4.09,0.122,30.4,69.8,0.9959,3.39,0.59,9.2,6
7.67,0.231,0.46,1.61,0.092,28.1,83.3,0.992,3.17,0.66,10.43,6
8.54,0.529,0.3,3.65,0.134,16.0,51.2,0.9967,3.17,0.57,10.04,5
5.78,0.359,0.63,1.19,0.078,23.5,48.9,0.9946,3.28,0.83,8.78,6
7.53,0.341,0.48,1.53,0.093,23.7,71.2,0.9953,3.48,0.67,8.92,6
10.47,0.577,0.15,1.1,0.105,17.5,65.6,0.9983,3.04,0.53,10.76,5
9.19,0.432,0.71,0.9,0.101,17.9,37.4,0.9947,3.26,0.66,9.7,6
8.03,0.311,0.0,0.9,0.163,16.9,54.5,0.9949,3.51,0.62,10.95,7
8.49,0.768,0.39,0.9,0.104,7.6,31.7,0.9971,3.13,0.9,10.56,6
9.29,0.696,0.14,1.8,0.073,8.7,9.7,0.9984,3.5,0.65,11.52,6
9.61,0.182,0.63,4.37,0.112,8.5,47.3,0.9959,3.14,0.42,9.51,6
7.35,0.265,0.32,1.08,0.134,1.0,5.1,0.9995,3.17,0.74,10.65,7
10.91,0.637,0.12,0.9,0.123,17.4,54.0,0.9943,3.29,0.96,11.08,6
10.54,0.479,0.22,1.28,0.121,15.5,16.5,0.9939,3.59,0.86,9.73,6
9.45,0.8,0.13,0.9,0.017,23.9,39.5,0.9938,3.21,0.47,11.61,5
6.87,0.641,0.21,0.9,0.012,29.1,50.5,0.9936,3.05,0.61,8.62,5
6.57,0.584,0.21,0.9,0.147,29.8,83.8,0.9973,,0.65,9.51,5
7.74,0.346,0.13,4.92,0.108,30.8,50.1,0.9948,3.45,0.66,8.58,4
8.4,0.618,0.32,2.89,0.086,8.0,16.5,0.994,3.11,0.72,9.61,4
5.29,0.3,0.34,0.9,0.12,1.0,38.3,0.9974,3.49,0.6,10.23,6
9.14,0.765,0.08,0.9,0.178,25.7,51.3,0.9983,3.32,0.5,11.29,6
10.49,0.606,0.0,0.9,0.153,30.4,76.2,0.9987,3.31,0.82,10.23,5
9.28,0.382,0.33,0.9,0.132,32.2,42.0,0.9984,3.35,0.47,9.76,6
7.15,0.675,0.37,0.9,0.045,21.0,55.2,0.995,3.19,0.52,8.74,4
6.95,0.933,0.41,0.9,0.051,1.0,80.4,0.9972,3.33,0.47,9.1,5
8.81,0.491,0.37,4.97,0.012,19.7,45.0,0.9976,3.13,0.76,10.73,6
8.04,0.629,0.57,0.93,0.117,21.7,55.5,0.9958,3.51,0.68,11.34,6
9.05,0.452,0.46,1.35,0.139,29.0,30.0,0.997,3.16,0.81,9.95,6
9.32,0.545,0.78,0.9,0.143,30.9,43.9,0.9943,3.38,0.53,11.7,6
10.16,0.259,0.86,3.12,0.119,25.5,64.6,0.9955,3.15,0.45,9.38,6
6.38,0.53,0.0,3.12,0.08,9.7,33.1,0.9974,3.23,0.58,9.98,6
8.68,0.538,0.0,0.9,0.06,5.1,47.4,0.9996,3.25,0.63,10.07,5
7.68,0.854,0.27,4.87,0.048,21.5,60.0,0.9989,3.76,0.7,12.04,7
8.13,0.207,0.37,0.9,0.079,7.6,11.2,0.998,3.31,0.37,10.54,5
9.77,0.479,0.26,3.31,0.041,31.4,81.7,0.9969,3.19,0.74,8.48,5
9.95,0.762,0.4,5.19,0.17,1.0,6.1,0.9966,3.24,0.51,11.42,5
10.68,0.486,0.22,4.27,0.026,21.9,36.6,0.9939,3.08,0.55,12.38,7
9.02,0.499,0.14,4.3,0.078,19.3,53.8,0.9951,3.29,0.86,10.13,5
8.11,0.38,0.17,9.89,0.012,13.7,75.1,0.9952,3.59,0.33,9.44,5
7.87,0.362,0.23,1.88,0.101,6.2,16.1,0.9978,3.36,0.71,11.32,7
5.35,0.201,0.43,1.06,0.087,1.0,34.0,0.9985,3.45,0.71,12.5,6
10.58,0.417,0.18,0.9,,10.3,43.4,0.9981,3.17,0.52,11.31,6
7.75,0.352,0.22,0.9,0.043,10.5,53.7,0.9989,3.28,0.58,8.66,5
9.16,0.551,0.38,1.31,0.087,27.6,81.3,0.9968,3.34,0.87,11.21,6
9.45,0.388,0.23,0.9,0.061,7.7,29.6,0.9948,3.2,0.99,10.83,6
6.18,0.444,0.48,2.64,0.081,20.7,70.9,0.9966,3.37,0.84,9.38,5
6.73,0.449,0.1,2.15,0.179,2.3,58.9,0.9953,3.4,0.98,11.78,5
10.93,0.521,0.05,3.57,0.095,20.9,86.6,0.9979,3.39,0.54,10.87,6
8.79,0.435,0.33,0.9,0.112,1.0,41.0,0.996,3.29,0.39,11.81,6
7.31,0.339,0.35,4.48,0.065,37.9,71.0,0.9965,3.47,0.65,9.26,6
8.09,0.545,0.11,0.96,0.05,14.4,34.9,0.998,3.27,0.8,10.83,6
10.15,0.722,0.53,11.07,0.086,1.0,2.0,0.9953,3.26,0.34,9.44,4
9.89,0.553,0.64,2.91,0.205,8.4,32.8,0.9985,3.53,0.5,10.67,5
5.81,0.42,0.15,0.9,0.073,6.7,39.0,0.9941,3.14,0.52,11.98,6
11.08,0.508,0.55,0.9,0.104,9.0,36.8,0.9973,3.05,0.72,8.87,4
9.94,0.161,0.0,0.9,0.048,12.1,54.0,0.9965,3.18,0.7,8.94,5
8.04,0.505,0.47,0.9,0.012,8.9,9.9,0.9983,3.37,0.53,11.42,6
6.27,0.458,0.11,0.9,0.05,7.3,33.7,0.9941,3.5,0.69,10.38,5
10.09,0.362,0.46,0.9,0.199,3.7,73.6,0.9938,3.21,0.47,11.65,6
9.11,0.395,0.09,4.78,0.115,24.5,74.4,0.9981,3.58,0.59,9.54,6
5.82,0.456,0.26,0.9,0.164,28.5,70.8,0.996,3.31,0.44,10.45,6
7.91,0.709,0.12,2.2,0.071,13.2,51.0,0.9965,3.29,0.63,11.14,7
13.61,0.727,0.23,3.88,0.012,15.7,38.4,0.9954,3.18,0.52,10.62,6
8.33,0.363,0.62,0.9,0.035,4.1,5.1,0.9984,3.6,0.78,8.49,5
7.04,0.437,0.25,0.9,0.106,16.6,55.8,0.9973,3.29,0.66,13.42,7
6.59,0.441,0.67,3.13,0.098,18.3,19.3,0.9972,3.11,0.62,10.63,6
11.31,0.676,0.2,1.28,0.087,13.6,37.1,0.9945,3.68,0.96,8.97,5
9.74,0.556,0.55,2.23,0.062,20.1,50.0,0.9977,3.37,0.73,10.74,6
10.69,0.547,0.0,3.05,0.131,19.1,40.2,0.9948,3.43,0.6,10.86,6
8.72,0.627,0.22,0.9,0.063,4.8,78.3,0.9954,3.56,0.56,11.46,6
10.43,0.423,0.17,1.35,0.101,28.4,94.9,0.9941,3.4,0.46,11.39,7
6.86,0.775,0.56,6.12,0.096,13.7,64.4,0.9964,3.46,0.65,10.17,5
8.58,0.53,0.31,1.02,0.07,33.5,45.0,0.9987,3.32,0.71,8.56,5
8.79,0.376,0.0,5.67,0.046,20.3,88.7,0.9971,3.42,0.33,10.89,6
10.65,0.489,0.02,1.55,0.067,36.6,79.0,0.9959,3.3,0.43,8.64,5
8.84,0.752,0.08,0.9,0.175,28.2,39.4,0.9969,3.31,0.57,11.7,5
7.24,0.453,0.45,13.88,0.139,18.3,48.9,0.9969,3.33,0.47,9.62,5
8.41,0.701,0.42,2.83,0.135,8.3,57.5,0.9968,3.25,0.67,11.08,5
5.45,0.417,0.21,12.45,0.05,8.5,26.6,0.997,3.39,0.69,9.7,6
4.6,0.392,0.17,3.58,0.019,21.5,54.3,0.9947,3.39,0.64,9.87,6
9.71,0.649,0.41,0.9,0.139,17.4,53.7,0.9969,3.43,0.75,9.54,4
7.66,0.373,0.06,0.9,0.13,9.7,17.7,0.9934,3.41,0.56,11.17,6
7.86,0.678,0.36,0.9,0.093,24.6,49.2,0.9978,3.61,0.65,9.74,6
9.71,0.593,0.34,1.92,0.07,16.3,25.8,0.9946,3.47,0.49,11.22,6
10.67,0.373,0.22,2.91,0.018,24.7,72.1,0.9989,3.28,0.71,9.76,6
9.21,0.517,0.35,3.27,0.128,5.7,17.5,0.9921,3.38,0.67,10.15,5
11.58,0.431,0.29,1.51,0.143,26.4,62.2,0.9999,3.52,0.46,10.44,6
9.15,0.593,0.36,5.56,0.055,21.2,23.4,0.9936,3.17,0.63,10.56,6
8.81,0.87,0.02,1.1,0.051,28.5,35.8,0.9944,3.61,,9.41,5
8.71,0.463,0.39,0.9,0.145,26.2,32.5,0.9973,3.19,0.71,11.15,6
6.11,0.626,0.47,10.07,0.057,15.0,39.2,0.9979,3.45,0.71,10.11,5
9.93,0.534,0.33,1.66,0.171,14.2,47.8,0.9962,3.31,0.54,10.98,5
