fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
4.6,0.534,0.38,1.62,0.082,34.6,71.9,0.9984,3.3,0.79,10.38,5
7.3,0.5,0.25,0.9,0.069,12.8,13.8,0.9952,3.11,0.75,11.03,6
8.34,0.376,0.44,3.9,0.089,23.8,50.4,0.9959,3.45,0.54,9.96,5
6.96,0.59,0.28,1.9,0.069,11.9,26.9,0.9961,3.12,0.47,9.56,5
7.53,0.478,0.05,1.03,0.14,1.0,41.7,0.9957,3.09,0.55,10.86,5
11.43,0.367,0.43,13.98,0.129,3.0,27.7,0.993,3.48,0.41,9.87,6
10.18,0.713,0.0,2.26,0.138,20.2,48.5,0.9967,3.58,0.7,11.96,7
7.13,0.548,0.32,1.29,0.096,23.3,38.4,0.9965,3.21,0.86,10.47,6
7.5,0.489,0.2,4.42,0.066,20.2,84.7,0.9987,3.46,0.9,8.93,6
6.13,0.771,0.18,6.7,0.087,27.9,32.3,0.9943,3.43,0.47,9.77,5
9.5,0.2,0.3,0.9,0.067,20.0,42.0,0.9955,3.3,0.79,9.33,6
7.88,0.759,0.14,11.37,0.156,7.8,39.9,0.999,3.51,0.67,11.55,6
4.96,0.372,0.37,10.37,0.134,22.1,47.1,0.9973,3.29,0.33,11.23,5
8.47,0.568,0.28,6.66,0.083,17.7,32.4,0.9977,3.39,0.6,10.33,6
9.05,0.424,0.15,0.9,0.043,9.9,10.9,0.9976,3.12,0.58,10.71,6
9.94,0.364,0.52,1.73,0.159,20.9,37.0,0.9976,3.13,0.87,10.31,5
8.18,0.766,0.31,1.59,0.093,16.7,27.5,1.0002,3.49,0.51,11.32,6
7.67,0.864,0.39,0.9,0.081,9.5,73.1,0.9969,3.39,0.76,10.96,5
11.68,0.49,0.54,0.9,0.16,14.0,89.3,0.9948,3.29,0.64,11.15,5
8.31,0.59,0.54,0.9,0.063,30.7,59.7,0.9979,3.6,0.41,10.19,6
9.52,0.54,0.38,1.36,0.072,30.4,32.3,0.9956,3.59,0.57,9.72,6
7.38,0.841,0.21,1.22,0.076,17.9,62.6,0.9965,3.38,0.92,11.11,6
9.47,0.15,0.0,1.09,0.025,16.5,26.9,0.9974,3.09,0.63,12.06,7
5.83,0.598,0.31,15.5,0.102,1.0,20.0,0.9951,3.29,0.81,11.58,6
7.51,0.399,0.48,1.35,0.051,34.0,51.4,0.9957,3.19,0.8,12.09,6
6.25,0.12,0.34,3.21,0.06,26.8,46.8,0.9976,3.32,0.58,10.57,6
7.27,0.465,0.0,2.4,0.054,23.8,46.7,0.9957,3.17,0.44,9.36,5
10.43,0.863,0.44,0.93,0.059,1.0,4.7,0.9985,3.13,0.46,9.46,5
7.26,0.412,0.45,6.49,0.048,16.3,32.3,0.9948,2.97,0.91,11.88,7
9.52,0.672,0.21,0.9,0.099,14.6,65.0,0.9948,3.34,0.69,8.41,5
10.88,0.746,0.46,1.85,0.08,23.1,52.4,1.0003,2.97,0.37,12.01,6
8.25,0.528,0.39,2.83,0.089,11.2,43.7,0.9938,3.26,0.8,9.56,5
9.99,0.552,0.14,5.97,0.198,13.5,14.5,0.9966,3.41,0.36,12.46,5
9.2,0.221,0.51,0.93,0.08,22.4,71.4,1.0002,3.2,,10.32,7
8.5,0.401,0.03,2.7,0.115,7.8,24.1,0.9966,3.15,0.67,11.17,6
9.58,0.693,0.26,6.52,0.121,9.9,62.4,0.9993,3.3,1.09,12.95,7
11.43,0.541,0.24,0.9,0.084,17.9,51.0,0.9979,3.19,0.8,10.05,5
7.22,0.596,0.11,7.15,0.1,30.0,48.7,0.9967,3.34,0.58,10.03,5
6.67,0.554,0.33,0.9,0.088,24.4,25.4,0.9965,,0.66,9.66,5
6.57,0.925,0.52,0.9,0.097,27.2,100.7,0.9927,3.29,0.82,9.33,5
9.99,0.453,0.51,8.64,0.059,16.6,62.6,0.9961,3.26,0.9,10.05,6
10.22,0.819,0.41,0.9,0.064,31.6,78.9,0.9971,3.31,0.62,9.81,5
7.39,0.554,0.0,3.63,0.088,1.0,67.4,0.9971,3.56,0.62,9.06,5
4.67,0.835,0.02,8.84,0.012,37.1,71.6,1.0014,3.34,0.52,10.17,4
7.15,0.31,0.3,5.71,0.157,38.5,95.5,0.9972,3.39,0.77,10.88,5
9.23,0.563,0.26,0.9,0.189,20.7,41.1,0.9979,3.22,0.83,9.44,5
8.19,0.459,0.18,0.9,0.095,24.6,69.4,0.9989,3.34,0.33,10.23,5
8.61,0.555,0.63,1.01,0.118,15.5,32.9,0.9977,3.27,0.59,11.9,6
7.41,0.75,0.29,1.87,0.138,13.7,33.6,0.9965,3.31,0.45,8.88,5
10.02,0.598,0.37,1.45,0.025,9.5,41.4,0.9965,3.41,0.69,12.47,6
8.88,0.75,0.46,3.57,0.131,15.4,20.0,0.996,3.23,0.45,9.68,5
9.3,0.409,0.28,9.95,0.067,21.7,58.3,0.9975,3.25,0.44,10.61,6
8.57,0.382,0.76,3.26,0.195,20.3,44.1,0.9964,,0.85,11.77,6
9.19,0.533,0.09,4.74,0.078,36.8,37.8,0.9979,3.23,0.63,12.1,7
9.08,0.523,0.15,0.9,0.13,17.0,37.8,0.9948,3.34,0.65,10.9,5
6.72,0.497,0.09,5.64,0.079,1.0,24.1,0.997,3.26,0.73,9.66,5
8.93,0.357,0.57,1.9,0.19,33.2,80.2,0.9996,3.53,0.83,9.56,6
9.65,0.746,0.42,2.03,0.063,3.1,38.8,0.9963,3.71,0.59,9.78,5
10.26,0.465,0.17,0.9,0.142,10.0,69.0,1.0002,3.22,0.59,12.42,6
9.01,0.787,0.11,8.32,0.116,18.8,59.2,0.997,3.35,0.59,9.99,5
6.66,0.532,0.53,5.31,0.106,20.3,39.2,0.9966,3.47,0.84,10.75,6
6.92,0.647,0.34,2.08,0.098,1.0,29.8,0.9969,3.27,0.65,9.28,5
7.56,0.63,0.54,3.68,0.056,8.1,31.1,0.9961,3.16,0.61,9.16,6
8.62,0.382,0.26,4.06,0.012,1.0,40.8,0.9929,3.57,0.73,10.43,6
8.09,0.596,0.37,0.9,0.137,22.4,53.6,0.9984,3.41,0.97,10.05,5
6.39,0.877,0.33,4.18,0.064,28.3,45.8,1.0009,3.36,0.67,10.13,5
6.38,0.575,0.15,3.51,0.142,3.1,33.2,0.9976,3.53,0.61,8.82,5
4.73,0.692,0.24,1.5,0.104,26.4,65.6,0.9977,3.43,0.99,10.32,5
4.6,0.655,0.04,2.62,0.143,25.7,35.5,0.9964,3.3,0.89,12.06,7
8.08,0.585,0.36,0.9,0.125,9.0,45.3,0.9989,3.16,0.86,9.49,5
12.24,0.564,0.41,7.18,0.012,1.0,2.0,0.9966,3.24,0.57,11.36,6
11.35,0.629,0.46,0.9,0.116,4.7,56.8,0.9972,3.49,0.56,8.4,5
6.64,0.667,0.4,2.66,0.071,9.6,50.2,0.9937,3.41,0.35,9.54,6
8.55,0.287,0.25,5.8,0.142,32.1,94.7,0.9957,3.28,0.82,8.4,4
5.81,0.575,0.56,3.34,0.115,14.7,22.3,0.9974,3.57,0.67,11.72,5
6.07,0.497,0.44,3.81,0.115,5.3,58.0,0.9984,3.29,0.35,11.34,6
6.26,0.46,0.53,0.9,0.074,17.5,66.2,0.9985,3.46,0.86,9.29,6
7.92,0.763,0.55,6.16,0.044,2.3,28.7,0.9937,3.34,0.6,10.71,5
7.99,0.398,0.25,2.89,0.067,21.3,43.8,0.9939,3.6,0.62,11.69,5
8.73,0.279,0.34,1.16,0.012,5.6,13.9,0.9978,3.42,0.4,11.85,7
9.43,0.673,0.42,3.63,0.059,7.2,10.2,0.9953,3.32,0.74,9.97,6
7.73,0.274,0.05,0.9,0.018,19.8,34.8,0.9984,3.28,0.75,8.4,5
8.36,0.183,0.06,3.87,0.019,34.3,39.2,0.9936,3.31,0.65,9.44,6
6.44,0.693,0.02,1.11,0.092,39.0,100.9,0.9965,3.2,0.59,11.22,5
6.01,0.559,0.25,0.9,0.112,5.0,6.0,0.9966,3.1,1.11,12.65,6
5.75,0.615,0.21,2.02,0.086,9.6,42.6,0.9976,3.36,0.46,10.34,5
9.4,0.45,0.0,2.54,0.064,21.3,60.0,0.9947,3.23,0.54,9.75,5
7.73,0.281,0.3,1.94,0.042,28.2,65.3,0.993,3.23,0.78,12.97,6
5.12,0.317,0.25,0.9,0.072,1.0,39.9,0.997,3.3,0.49,10.83,6
8.19,0.481,0.49,3.46,0.048,16.8,65.7,0.9977,3.32,0.48,9.09,6
6.18,0.301,0.65,0.9,0.084,10.8,31.9,0.9986,3.31,0.85,10.27,6
11.12,0.585,0.36,1.83,0.015,1.0,32.8,0.996,3.57,0.76,11.47,6
7.32,0.447,0.14,1.53,0.12,1.9,26.0,0.9982,3.41,0.74,10.32,5
9.46,0.563,0.39,2.35,0.06,9.9,66.0,0.9976,3.63,0.69,11.25,6
10.15,0.558,0.27,0.9,0.105,16.5,88.5,0.9992,3.24,0.54,8.68,5
6.68,0.6,0.22,0.9,0.129,26.5,32.6,0.9966,3.43,0.62,8.87,5
8.43,0.62,0.11,0.9,0.102,19.6,20.6,0.9934,3.25,0.65,9.61,6
9.24,0.468,0.18,0.9,0.125,25.8,67.2,0.9966,3.23,0.8,10.1,6
8.5,0.563,0.24,3.24,0.012,16.2,67.6,0.9969,3.63,0.73,10.76,6
8.91,0.572,0.42,3.38,0.064,8.5,77.6,0.9977,3.19,0.5,11.08,7
6.04,0.12,0.37,0.9,0.139,14.0,58.7,0.9938,2.98,0.79,13.04,8
9.24,0.646,0.62,1.97,0.111,23.2,81.1,0.9961,3.2,0.37,9.61,5
7.47,0.557,0.4,2.41,0.174,26.7,89.9,0.9983,3.01,0.61,10.06,5
8.89,0.632,0.35,1.98,0.167,14.3,73.6,0.9965,3.17,0.47,9.64,4
9.86,0.298,0.21,10.12,0.101,6.1,53.8,0.9961,3.18,0.51,11.55,6
9.44,0.473,0.07,3.16,0.075,19.4,23.8,1.0003,3.32,0.99,11.61,7
8.89,0.334,0.16,8.92,0.042,20.9,50.8,0.9947,3.0,0.41,9.92,7
9.39,0.664,0.14,1.68,0.065,28.8,64.8,0.999,3.49,0.52,12.61,6
9.47,0.277,0.0,0.9,0.068,8.8,36.8,0.9986,3.03,0.75,9.64,6
10.84,0.363,0.08,1.25,0.059,8.9,38.1,0.9963,3.29,0.58,11.5,6
8.24,0.626,0.57,1.82,0.044,23.8,85.2,0.9966,3.26,0.69,11.96,7
8.58,0.417,0.34,7.23,0.106,11.6,26.5,0.9966,3.43,0.9,8.94,5
9.88,0.363,0.2,2.76,0.167,11.2,57.2,0.997,3.36,0.77,11.02,7
7.47,0.693,0.35,1.75,0.131,29.1,65.4,0.9956,3.49,0.58,8.4,4
6.03,0.701,0.0,3.93,0.072,1.5,14.4,0.9959,3.26,0.64,11.28,5
9.14,0.66,0.32,0.9,0.135,37.5,46.0,0.996,3.24,0.75,9.22,5
7.95,0.683,0.51,1.11,0.103,9.5,10.5,0.9961,3.37,0.77,11.01,5
6.25,0.488,0.25,0.9,0.085,25.0,64.7,0.9961,3.46,0.66,11.21,6
9.15,0.493,0.0,0.97,0.082,14.8,43.5,0.9924,3.43,0.72,11.6,5
10.73,0.413,0.19,0.9,0.078,18.7,32.2,0.9969,3.36,0.72,11.35,6
5.53,0.56,0.51,1.16,0.118,13.1,14.1,0.9957,3.34,0.64,10.46,6
10.04,0.435,0.32,1.36,0.094,24.9,63.5,0.9932,3.3,0.56,9.99,6
4.6,0.452,0.0,3.6,,12.3,38.8,0.996,3.37,0.79,10.32,6
7.62,0.638,0.72,8.69,0.05,9.9,25.6,0.996,3.62,0.71,9.21,6
11.43,0.743,0.03,1.42,0.101,34.9,45.7,0.9991,3.27,0.33,10.17,5
7.74,0.602,0.22,5.92,0.107,16.2,41.4,0.9957,3.26,0.52,10.09,5
8.45,0.853,0.07,6.81,0.072,8.8,48.2,0.998,3.24,0.58,9.56,4
9.6,0.403,0.07,0.9,0.034,1.0,24.4,0.9993,3.37,0.63,8.54,5
5.38,0.199,0.18,5.69,0.146,35.5,41.7,0.9955,2.99,0.86,9.03,6
8.42,0.659,0.39,0.9,0.136,10.1,38.9,0.9966,3.29,1.2,8.4,5
8.41,0.391,0.52,0.99,0.012,37.5,88.5,1.0,3.44,0.33,10.07,5
11.47,0.481,0.2,1.72,0.15,20.1,50.9,0.9971,3.23,0.71,10.79,5
6.2,0.211,0.08,0.9,0.077,17.4,48.8,0.9974,3.34,0.67,8.4,5
7.65,0.368,0.36,2.75,0.096,17.7,41.2,0.9959,3.63,0.63,10.65,6
6.72,0.26,0.37,0.9,0.14,39.2,51.4,0.998,3.36,0.75,10.27,6
6.54,0.452,0.32,1.83,0.165,1.0,12.5,0.9966,2.97,0.69,9.14,5
10.22,0.459,0.32,1.94,0.134,18.2,19.2,0.9932,3.1,0.6,9.94,5
8.35,0.546,0.25,0.9,0.098,13.1,66.7,0.996,3.27,0.66,11.52,6
7.36,0.753,0.29,1.34,0.022,13.7,52.9,0.9945,3.19,0.75,9.36,6
7.42,0.652,0.24,0.9,0.012,17.5,49.1,0.9969,3.33,0.74,10.48,6
7.34,0.238,0.47,9.25,0.128,13.1,49.0,0.995,3.27,0.69,10.77,6
7.49,0.639,0.69,1.0,0.15,17.9,54.7,0.9976,3.48,0.56,9.52,6
6.15,0.55,0.3,1.24,0.049,15.7,31.0,0.9968,3.15,1.14,11.48,6
7.86,0.512,0.27,2.56,0.074,2.1,25.6,0.9943,3.28,0.72,10.83,6
7.69,0.526,0.32,1.75,0.061,19.9,40.4,0.9958,3.34,0.79,10.13,5
7.01,0.567,0.14,3.56,0.06,23.4,103.6,0.9979,3.36,0.57,12.93,7
8.56,0.405,0.42,0.99,0.138,10.2,60.6,0.9989,3.33,0.69,11.48,6
8.71,0.497,0.35,6.83,0.097,35.5,68.9,0.995,2.95,0.69,8.6,4
7.35,0.743,0.19,4.51,0.076,29.9,87.2,0.9946,3.32,0.33,9.98,5
8.05,0.403,0.44,3.9,0.212,24.8,79.6,1.0004,3.29,0.54,13.04,7
11.97,0.345,0.27,3.13,0.02,24.6,27.0,0.9967,3.44,0.54,9.35,5
11.9,0.519,0.09,1.23,0.113,16.2,41.8,0.9969,3.42,0.56,10.47,6
6.51,0.326,0.34,0.9,0.038,27.9,57.6,0.9953,3.35,0.48,11.72,6
6.75,0.22,0.32,0.9,0.08,32.4,74.6,0.9971,3.36,0.67,11.1,6
6.5,0.468,0.45,1.76,0.094,24.4,49.9,1.0,3.51,0.9,11.25,5
10.1,0.791,0.43,1.75,0.127,9.9,37.9,0.9972,3.48,0.68,11.19,6
7.62,0.523,0.25,1.84,0.075,15.5,36.3,0.9987,3.35,0.46,10.43,6
8.71,0.562,0.18,4.39,0.07,21.9,72.9,0.9968,3.63,0.48,9.55,6
11.69,0.147,0.27,3.31,0.074,24.7,25.8,0.9948,3.22,0.6,10.87,6
8.28,0.609,0.34,0.9,0.036,15.1,36.5,0.9954,3.13,0.42,9.97,5
9.5,0.547,0.36,3.21,0.117,9.9,10.9,0.9946,3.31,0.71,9.88,6
9.18,0.41,0.33,2.55,0.1,32.5,41.9,0.9971,3.25,0.89,11.99,6
7.3,0.562,0.25,1.36,0.107,4.6,41.0,0.999,2.94,0.56,9.99,6
10.1,0.561,0.46,1.36,0.084,6.0,42.7,0.997,3.21,0.67,12.23,6
6.86,0.339,0.14,1.41,0.078,2.0,25.7,0.9961,3.36,0.59,10.67,6
10.58,0.59,0.74,0.9,0.142,6.0,58.5,0.9952,3.3,0.55,10.23,6
7.3,0.745,0.41,3.17,0.135,29.0,86.1,0.9974,3.19,0.69,8.46,5
7.49,0.489,0.06,5.25,0.153,29.3,58.0,0.9943,3.32,0.55,12.67,6
6.45,0.374,0.31,0.9,0.105,15.1,50.1,0.9945,3.33,0.52,10.39,6
6.73,0.498,0.42,4.97,0.151,21.1,42.1,0.9984,3.42,0.38,8.4,5
7.57,0.684,0.2,1.44,0.067,15.8,58.3,0.9962,3.21,0.67,11.46,6
4.6,0.309,0.0,14.16,0.078,3.4,9.5,0.9961,3.44,0.84,10.35,6
7.9,0.634,0.07,1.64,0.143,39.2,105.1,0.9964,3.15,0.78,9.4,4
7.44,0.408,0.37,10.11,0.127,30.3,83.1,0.9981,3.23,0.91,11.4,6
9.64,0.574,0.0,4.62,0.073,19.6,25.6,0.997,3.56,0.55,8.4,5
9.02,0.428,0.0,0.9,0.038,6.9,21.1,0.9953,3.16,0.8,9.64,6
7.1,0.428,0.37,1.51,0.077,13.5,52.0,0.9954,3.21,0.47,10.08,4
7.52,0.804,0.23,2.56,0.055,8.6,31.9,0.9963,3.12,0.78,11.31,6
7.9,0.276,0.14,7.39,0.168,16.9,57.8,0.9973,3.19,0.94,12.8,6
10.83,0.617,0.18,0.99,0.123,19.2,42.0,0.9966,3.33,0.74,10.14,6
6.9,0.842,0.0,1.49,0.051,12.3,72.8,0.9965,3.42,0.94,10.89,6
7.08,0.653,0.36,3.11,0.038,1.0,31.2,0.9968,3.31,0.56,13.34,7
6.38,0.29,0.12,0.9,0.05,38.3,116.7,0.9966,3.26,0.64,10.41,5
5.78,0.299,0.17,5.5,0.061,18.4,60.4,0.9952,,0.5,10.9,6
8.82,0.395,0.34,1.79,0.079,20.7,23.7,0.9988,3.2,0.67,9.08,5
8.64,0.558,0.22,0.9,0.139,11.5,83.2,0.9958,3.08,0.71,12.5,8
10.48,0.571,0.14,0.9,0.042,1.0,53.0,0.9969,3.42,0.66,9.64,6
10.07,0.301,0.0,6.9,0.195,15.0,52.6,0.9928,3.43,0.58,10.69,6
12.38,0.373,0.34,0.9,0.043,12.5,55.4,0.9963,3.3,0.58,10.66,7
8.17,0.384,0.29,2.45,0.021,23.4,29.6,0.9946,3.38,0.72,10.49,6
7.86,0.497,0.17,0.9,0.166,25.4,26.4,0.9948,3.44,0.63,9.94,5
6.09,0.887,0.07,2.48,0.149,23.9,53.1,1.0013,3.33,0.46,10.66,5
9.48,0.362,0.27,1.37,0.078,26.3,83.9,0.9972,3.52,0.34,12.28,6
8.5,0.354,0.36,1.9,0.105,34.8,72.8,0.999,3.16,0.56,12.84,5
9.41,0.326,0.29,4.55,0.106,20.0,84.2,0.9983,3.26,0.43,10.21,6
6.36,0.644,0.58,6.7,0.093,27.4,83.9,0.9986,3.24,0.52,9.92,5
8.9,0.523,0.4,0.97,0.026,21.1,51.5,0.9963,3.41,0.59,9.53,5
8.65,0.369,0.25,0.9,0.012,1.0,54.7,0.9998,3.09,0.64,13.27,6
8.54,0.465,0.41,4.26,0.047,14.3,74.7,0.9983,3.53,0.55,10.54,6
7.14,0.388,0.28,7.99,0.172,6.8,35.2,0.9968,3.39,1.03,11.59,5
10.32,0.583,0.28,2.23,0.174,18.3,44.1,0.9972,3.57,0.45,11.15,6
11.79,1.013,0.52,1.1,0.075,7.6,40.4,0.9964,3.3,0.87,12.76,6
6.41,0.629,0.1,3.38,0.042,22.3,23.3,0.9968,3.23,0.63,10.13,4
9.52,0.513,0.27,2.7,0.1,26.2,61.8,0.9966,3.41,0.55,9.22,5
4.6,0.41,0.5,0.9,0.108,28.5,72.9,0.9974,3.46,0.76,12.39,7
9.44,0.288,0.33,1.16,0.115,32.9,65.8,1.0,3.2,0.58,11.37,6
5.12,0.662,0.2,2.75,0.012,1.0,37.9,0.9944,3.01,0.52,10.89,5
7.41,0.652,0.0,3.6,0.235,3.3,32.4,0.9989,3.04,0.96,12.04,5
6.07,0.446,0.0,4.3,0.14,46.6,47.6,0.996,3.35,0.33,10.95,5
7.93,0.748,0.66,1.21,0.078,26.5,89.8,0.9991,3.54,0.62,12.08,6
9.73,0.534,0.33,3.84,0.053,18.3,40.9,0.9961,3.11,0.69,10.66,5
5.14,0.669,0.16,3.75,0.133,16.2,33.9,0.9975,3.27,0.9,11.37,6
7.69,0.583,0.34,0.9,0.11,15.3,72.5,0.9964,3.26,0.59,10.96,5
7.43,0.498,0.09,0.9,0.091,1.0,50.6,0.9934,3.6,1.11,10.05,6
10.99,0.358,0.21,1.41,0.109,7.8,43.3,1.0,3.65,0.79,10.18,6
9.03,0.504,0.09,2.83,0.082,14.7,60.1,0.9949,3.37,0.33,9.98,5
6.3,0.682,0.0,1.03,0.106,8.4,15.3,0.9969,3.44,0.41,10.68,5
7.5,0.439,0.0,1.48,0.121,9.8,38.1,0.9947,3.44,0.7,9.91,5
10.95,0.609,0.0,1.68,0.103,42.8,98.7,0.9942,3.12,0.47,10.87,6
9.51,0.335,0.46,0.9,0.101,13.3,29.7,0.9963,3.41,0.75,10.83,6
6.74,0.67,0.08,2.7,0.152,18.8,28.9,0.9956,3.16,0.58,10.62,6
7.85,0.586,0.37,1.65,0.012,18.4,50.0,0.9945,3.28,,10.64,6
7.9,0.314,0.45,0.9,0.049,22.1,54.1,0.9966,3.48,0.5,9.79,6
7.39,0.49,0.27,1.2,0.088,10.9,53.8,0.9939,,0.8,10.1,6
5.39,0.698,0.21,15.23,0.053,29.0,31.4,0.9969,3.48,0.33,8.61,4
7.15,0.303,0.3,7.01,0.068,20.6,21.6,0.9965,3.5,0.84,10.27,5
10.66,0.337,0.19,7.29,0.148,2.4,50.8,0.992,3.05,0.84,9.35,6
7.65,0.517,0.5,2.37,0.08,14.8,23.1,0.9957,2.98,0.6,10.51,6
8.12,0.914,0.63,1.21,0.012,14.1,31.9,0.9976,3.48,0.42,9.64,5
8.54,0.409,0.55,1.02,0.067,13.6,14.6,0.9947,3.49,0.75,8.4,5
12.07,0.619,0.0,0.9,0.09,21.2,71.7,0.9977,3.35,0.58,12.81,6
8.32,0.577,0.19,4.57,0.089,22.6,59.6,0.9975,3.37,0.4,10.15,6
10.16,0.424,0.27,0.9,0.113,21.3,57.5,0.9948,3.44,0.98,11.95,6
7.28,0.559,0.36,1.52,0.109,19.5,55.5,0.9967,3.44,0.51,9.84,6
7.86,0.449,0.0,5.92,0.08,16.8,17.8,0.9983,3.26,0.41,12.22,6
8.32,0.466,0.0,1.65,0.031,1.0,11.3,0.995,3.45,0.71,9.17,5
6.98,0.231,0.52,0.9,0.066,24.1,45.0,0.9963,3.26,0.65,10.59,5
7.95,0.526,0.16,5.31,0.058,21.0,36.1,0.9989,3.35,0.91,9.23,5
9.81,0.692,0.0,0.9,0.074,5.6,30.1,0.9951,3.34,0.6,13.18,7
6.94,0.54,0.06,2.64,0.119,18.8,53.8,0.9976,3.18,0.6,10.13,5
8.3,0.726,0.34,0.9,0.106,22.7,72.8,0.9946,3.2,,11.29,5
9.5,0.634,0.11,1.37,0.126,28.2,29.2,0.9964,3.65,0.69,10.88,6
6.9,0.519,0.32,0.94,0.069,21.3,51.1,0.9975,3.18,0.7,10.37,5
10.16,0.417,0.08,1.59,0.158,19.3,63.5,0.9921,3.37,0.71,10.95,6
8.42,0.442,0.0,0.9,0.119,25.8,37.4,0.9957,3.4,0.69,11.85,7
8.02,0.265,0.54,1.1,0.092,12.7,38.8,0.9975,3.3,0.59,11.11,5
4.89,0.482,0.35,1.93,0.115,20.2,59.6,0.9971,3.41,0.8,10.57,6
7.66,0.556,0.21,1.17,0.055,9.4,39.6,0.9957,3.36,0.6,10.96,5
8.93,0.839,0.17,0.9,0.012,27.6,71.0,0.9946,3.18,0.8,12.45,6
11.27,0.625,0.55,5.26,0.058,1.0,32.9,0.9979,3.39,0.9,9.95,6
9.27,0.374,0.38,6.46,0.122,24.5,48.2,0.9961,3.23,0.54,8.42,5
10.21,0.271,0.49,6.82,0.091,16.1,22.6,0.9977,3.57,1.07,9.23,6
6.24,0.493,0.16,0.9,0.081,26.0,61.0,0.9974,3.37,0.54,9.31,5
8.08,0.676,0.28,1.56,0.047,7.7,39.7,0.9958,3.2,0.54,9.46,4
10.38,0.49,0.35,6.18,0.012,16.8,27.0,0.9987,3.36,0.75,9.49,5
6.79,0.628,0.17,13.12,0.154,16.5,58.2,0.9956,3.17,0.74,10.37,6
9.94,0.497,0.25,0.9,0.077,20.5,75.8,0.999,3.35,0.67,10.66,5
9.55,0.659,0.16,2.52,0.067,4.9,21.7,0.9992,3.28,0.8,10.65,6
8.77,0.242,0.35,0.9,0.055,22.6,38.0,0.9987,3.19,0.7,9.62,5
7.74,0.819,0.02,2.64,0.146,1.0,15.7,0.9964,3.18,1.01,11.46,6
6.62,0.33,0.38,1.24,0.128,8.9,9.9,1.0015,3.68,0.65,10.97,6
11.32,0.673,0.33,6.67,0.042,1.0,71.1,0.997,3.32,0.51,12.09,6
9.37,0.481,0.23,0.9,0.142,24.6,45.6,0.9972,3.25,0.57,11.31,6
8.88,0.509,0.36,1.0,0.08,20.1,32.9,0.9967,3.22,0.74,10.03,5
7.6,0.487,0.2,2.1,0.058,20.7,28.2,0.9946,3.38,0.74,11.8,6
8.36,0.576,0.14,1.11,0.073,31.4,53.6,0.9992,3.21,0.7,10.69,5
8.58,0.612,0.37,1.67,0.05,12.6,28.7,0.9956,3.15,0.52,11.25,6
8.98,0.721,0.38,0.9,0.025,22.3,81.1,0.9984,3.31,0.85,11.17,6
